J_A_g^-1,window_start_s,window_end_s,retained_window_length_s,mask_points,window_selection_method,flatness_score,V0_base_V,Rs_base_ohm,effective_IR_drop_base_mV,Csp_base_F_g^-1,A_base,tau_base_s,Csp_CI2.5_F_g^-1,Csp_median_F_g^-1,Csp_CI97.5_F_g^-1,IRdrop_CI2.5_mV,IRdrop_median_mV,IRdrop_CI97.5_mV,A_CI2.5,A_median,A_CI97.5,tau_CI2.5_s,tau_median_s,tau_CI97.5_s
1,2.4804034200497043,9.6604039300001,7.180000509950396,719,flattest_linear_post_ir_window,0.4090083896037332,0.2537316398228566,0.00986700312913102,9.86700312913102,99.0876457235766,0.0,9.0,98.6000265889823,99.1286302705513,99.65238835783501,9.86700312913102,9.86700312913102,9.86700312913102,0.0,0.0,0.0,9.0,9.0,9.0
2,1.2944641800132075,4.6014641399960965,3.306999959982889,3308,flattest_linear_post_ir_window,0.29762326375099735,0.2618697187305725,0.009732716467688456,19.465432935376914,90.02908328210498,0.0,9.0,89.9074379826454,90.01538059959415,90.13615425000829,19.465432935376914,19.465432935376914,19.465432935376914,0.0,0.0,0.0,9.0,9.0,9.0
3,0.8774522900350088,2.8804520800480016,2.0029997900129928,2004,flattest_linear_post_ir_window,0.26810488948177175,0.27043949295636277,0.009627444607500105,28.882333822500314,82.62651540927513,0.0,9.0,82.5122170999024,82.61649094540422,82.72682779643704,28.882333822500314,28.882333822500314,28.882333822500314,0.0,0.0,0.0,9.0,9.0,9.0
4,1.1114450099420026,2.2254454100039998,1.1140004000619972,1115,flattest_linear_post_ir_window,0.2966933910250072,0.25784446681840734,0.009465826381994863,37.86330552797945,70.89006794626557,0.0,9.0,70.75556429483144,70.87888864609477,71.08057868838678,37.86330552797945,37.86330552797945,37.86330552797945,0.0,0.0,0.0,9.0,9.0,9.0
5,1.0114155699269816,1.741415560012996,0.7299999900860143,731,flattest_linear_post_ir_window,0.3329790938609002,0.2578480005956012,0.009339393602113992,46.69696801056996,61.27702420765139,0.0,9.0,60.92660592733132,61.239152184158286,61.530052943420415,46.69696801056996,46.69696801056996,46.69696801056996,0.0,0.0,0.0,9.0,9.0,9.0
