J_A_g,V0_best_V,V0_boot_mean_V,V0_CI_low_V,V0_CI_high_V,Rs_best_ohm_g,Rs_boot_mean_ohm_g,Rs_CI_low_ohm_g,Rs_CI_high_ohm_g,Csp_best_F_g,Csp_boot_mean_F_g,Csp_CI_low_F_g,Csp_CI_high_F_g,A_best_V,A_boot_mean_V,A_CI_low_V,A_CI_high_V,tau_best_s,tau_boot_mean_s,tau_CI_low_s,tau_CI_high_s,MSE_best,selected_t_start_s,selected_t_end_s,selected_duration_s,N_selected,deltaV_IR_mV_from_bestRs
1,0.37563385195477705,0.3756311312241739,0.3755666534831932,0.37573152379754754,0.005506736850787763,0.005507226174402725,0.00550587554569569,0.005508687977687523,86.67564318877955,86.68960524670815,86.50279637309444,86.85660744566245,0.09495530186761497,0.09496194288409118,0.09494044945556093,0.09498407754366887,0.02583636646665685,0.025836366466656848,0.02583636646665685,0.02583636646665685,1.772057379156895e-08,3.2604038499994985,5.7504040000495,2.490000150050001,250,5.506736850787763
2,0.29322248533699685,0.2932529510584908,0.29291495449644317,0.2936418249355352,0.006628121660202225,0.006627702158746687,0.00661743535701869,0.006638642723811222,768.7277101636306,783.5485524988538,693.225152146915,921.5612574824111,0.2999999978186496,0.2999999184778714,0.29999955627461544,0.2999999999999992,11.5867347685339,11.561307594463132,11.258369956997251,11.824596756655826,2.3212138522615487e-07,1.638463709969102,4.1374642299488045,2.4990005199797025,2500,13.256243320404451
3,0.2751353101110263,0.27513336027615654,0.27503871595351836,0.275258952192016,0.00046740667281135846,0.0004691425580957824,0.0004634026188615551,0.0004766952383205679,82.08757751065572,82.0938908990677,81.97239988105791,82.20939862636143,1.3725806010522716e-15,9.011480950351881e-07,4.636557391732695e-11,7.0937540490499e-06,0.17495009736487147,0.9738553724254098,0.00014898743693844002,0.17495009736487044,7.215854287357885e-07,0.6904520799880056,3.189452260034997,2.499000180046991,2500,1.4022200184340754
4,0.5810113557530094,0.5809257687770564,0.5805206748672403,0.5813019190572438,0.008693299014137866,0.008685035730586186,0.008649182229725827,0.00871784803070488,75.68686248953384,75.7045690560048,75.30664418216425,76.20928411851781,0.2696979092883781,0.26966325035701405,0.2693453147529914,0.269782996976114,0.000506233442997224,0.000506233442997224,0.000506233442997224,0.000506233442997224,1.9710080930034833e-06,0.6874453800269862,2.1864450599539964,1.4989996799270102,1500,34.77319605655146
5,0.49848907369225565,0.49855293756672386,0.49797438304241287,0.4992819563971301,0.0177510874214928,0.0177399629698723,0.017457722556948954,0.01777494928625395,71.24572749690259,71.16793065423413,70.29801455891239,71.83175842755108,0.13129429068036808,0.13131912907108828,0.1310266582610217,0.13159278920513515,0.01896124252428094,0.018961242524280917,0.01896124252428094,0.01896124252428094,4.352536594078696e-06,0.6004155599509886,1.6784150699389784,1.0779995099879898,1079,88.755437107464
