scan_rate_mV_s,QKPCA1,QKPCA2
5.0,-0.29950494403699673,-0.01300773985641346
10.0,-0.21097182800754102,0.015446802978690282
20.0,-0.05468523332779363,0.010053175926545588
30.0,0.07695396346703312,-0.00937996700446775
40.0,0.19180029930061868,-0.014884651176046338
50.0,0.2964077426046795,0.011772379131677533
