Potential_E_V,b_raw,b_smooth,fit_R2
0.054269418608029515,-0.46430979226954466,-0.3491746146331696,0.1242966819799769
0.05492419142340003,-0.24267318899572793,-0.24906024601124943,0.06286016538071615
0.05557896423877053,-0.11230231529068165,-0.15804442810478617,0.02038012107323217
0.056233737054141045,-0.017058310683577445,-0.07565795087324662,0.0006526676248399532
0.05688850986951155,0.0481769654343404,-0.0014316042760976755,0.006443498346897392
0.05754328268488206,0.09922398669300372,0.06510382172719392,0.031995785652380704
0.05819805550025257,0.1397751175492386,0.12441753717716136,0.07144466787965531
0.05885282831562308,0.18379170166785974,0.17697875211433772,0.1368448539798236
0.059507601130993584,0.2200378831007495,0.22325667657925624,0.20826059178807543
0.060162373946364096,0.24871592667187015,0.26372052061245027,0.27409607413422965
0.0608171467617346,0.2813135554716149,0.2988394942544527,0.3561737404958564
0.061471919577105114,0.30985261735388087,0.32908280754579694,0.4314168227143128
0.06212669239247562,0.3322881551872539,0.35491967052701606,0.4931311930276643
0.06278146520784612,0.35250850055185823,0.3768192932386433,0.5495294835390379
0.06343623802321663,0.37128350342444044,0.39525088572121186,0.6003538028183162
0.06409101083858715,0.38896308926536666,0.4106836580152407,0.6479296633647547
0.06474578365395765,0.4061027625450741,0.41946974982446056,0.686819878658607
0.06540055646932816,0.42208990117031553,0.4315708385505299,0.7192436591641006
0.06605532928469866,0.4366389419235506,0.4444829201695084,0.7502988197064425
0.06671010210006918,0.45448184701340844,0.45762447083027713,0.7835791740395867
0.06736487491543969,0.47099017296273893,0.47022523625059165,0.8085088378651818
0.06801964773081019,0.48185890685374383,0.4822060819901,0.8281338067319224
0.0686744205461807,0.4920851534434982,0.49341760223704356,0.8442753456261022
0.06932919336155122,0.5030031073623649,0.5042791535792654,0.8598623245587145
0.06998396617692172,0.5132640577096764,0.5146414164799746,0.8750124749608499
0.07063873899229223,0.5213486054063924,0.5243298597536372,0.8845555419159788
0.07129351180766273,0.5305328870438775,0.5337420800060235,0.8953382968255992
0.07194828462303325,0.542543480476478,0.5428320955202219,0.9081549627132347
0.07260305743840376,0.5520816050949369,0.5514884829899577,0.916503757981
0.07325783025377426,0.5604679451257586,0.5596507494964572,0.9231199223447207
0.07391260306914477,0.567400045698642,0.5673999604236363,0.9289677540480424
0.07456737588451529,0.5738332067538473,0.5748169885604619,0.9342751664500734
0.07522214869988579,0.5792668546136869,0.581876692919626,0.9392980079067534
0.0758769215152563,0.5860268817698049,0.5885539851179328,0.9445849802512138
0.07653169433062681,0.5935664987353916,0.594776021839436,0.9497902805211931
0.07718646714599732,0.6026020791597506,0.6008589005876949,0.9544352489563
0.07784123996136783,0.6086590416811393,0.6068804478165604,0.9579133767722899
0.07849601277673833,0.6131052812782662,0.6126020625871181,0.9604099729200812
0.07915078559210885,0.6176460843384355,0.6180627477542143,0.9631117985664933
