Potential_E_V,b_raw,b_smooth,fit_R2
0.054269418608029515,-0.46430979226954466,-0.3491746146331684,0.1242966819799769
0.05492419142340003,-0.24267318899572743,-0.2490602460112482,0.06286016538071648
0.05557896423877053,-0.1123023152906807,-0.15804442810478495,0.02038012107323217
0.056233737054141045,-0.017058310683576865,-0.0756579508732454,0.0006526676248399532
0.05688850986951155,0.04817696543434055,-0.0014316042760964542,0.006443498346897392
0.05754328268488206,0.09922398669300422,0.06510382172719514,0.03199578565238059
0.05819805550025257,0.13977511754923963,0.12441753717716258,0.07144466787965498
0.05885282831562308,0.18379170166786032,0.17697875211433894,0.13684485397982382
0.059507601130993584,0.22003788310074984,0.22325667657925768,0.2082605917880751
0.060162373946364096,0.248715926671871,0.2637205206124516,0.27409607413422943
0.0608171467617346,0.2813135554716154,0.29883949425445405,0.35617374049585604
0.061471919577105114,0.3098526173538812,0.3290828075457983,0.4314168227143135
0.06212669239247562,0.332288155187254,0.3549196705270175,0.49313119302766406
0.06278146520784612,0.35250850055185906,0.37681929323864466,0.5495294835390379
0.06343623802321663,0.3712835034244412,0.3952508857212133,0.6003538028183163
0.06409101083858715,0.3889630892653668,0.4106836580152464,0.6479296633647544
0.06474578365395765,0.40610276254507466,0.4194697498244664,0.6868198786586073
0.06540055646932816,0.42208990117031625,0.43157083855053585,0.7192436591641002
0.06605532928469866,0.43663894192355124,0.4444829201695146,0.7502988197064431
0.06671010210006918,0.45448184701340866,0.45762447083028346,0.7835791740395865
0.06736487491543969,0.47099017296273943,0.4702252362505981,0.8085088378651815
0.06801964773081019,0.4818589068537441,0.48220608199010667,0.8281338067319222
0.0686744205461807,0.4920851534434985,0.49341760223705033,0.8442753456261024
0.06932919336155122,0.5030031073623654,0.5042791535792723,0.8598623245587145
0.06998396617692172,0.513264057709677,0.5146414164799816,0.8750124749608498
0.07063873899229223,0.5213486054063926,0.5243298597536443,0.884555541915979
0.07129351180766273,0.5305328870438785,0.5337420800060307,0.8953382968255993
0.07194828462303325,0.5425434804764785,0.5428320955202294,0.9081549627132346
0.07260305743840376,0.5520816050949371,0.5514884829899651,0.916503757981
0.07325783025377426,0.5604679451257585,0.5596507494964648,0.9231199223447205
0.07391260306914477,0.5674000456986426,0.5673999604236439,0.9289677540480424
0.07456737588451529,0.5738332067538481,0.5748169885604697,0.9342751664500734
0.07522214869988579,0.5792668546136878,0.5818766929196337,0.9392980079067536
0.0758769215152563,0.5860268817698052,0.5885539851179409,0.9445849802512138
0.07653169433062681,0.5935664987353917,0.594776021839444,0.9497902805211931
0.07718646714599732,0.602602079159751,0.6008589005877029,0.9544352489563
0.07784123996136783,0.6086590416811398,0.6068804478165686,0.9579133767722899
0.07849601277673833,0.6131052812782664,0.6126020625871262,0.9604099729200813
0.07915078559210885,0.6176460843384359,0.6180627477542228,0.9631117985664933
0.07980555840747935,0.6229387991686532,0.6233297501476944,0.9660317238119213
0.08046033122284986,0.6279599211747208,0.6283732444460157,0.9682596597496231
0.08111510403822036,0.6322371643586964,0.6330379906741137,0.9703531839476917
0.08176987685359088,0.6374607775585281,0.6374356805909143,0.9727314968061287
0.08242464966896139,0.64178518169433,0.6417742212535601,0.9743514749779958
0.0830794224843319,0.6471152809998895,0.646015562168218,0.975766301631648
0.0837341952997024,0.6509718788271964,0.6501333233574323,0.9775641027001712
0.08438896811507292,0.6530962953480974,0.6540979826242874,0.9793465823341072
0.08504374093044342,0.6561419349771356,0.6578693016181641,0.9808618821882058
0.08569851374581393,0.6597537294258792,0.6613852338043446,0.9822225676964922
0.08635328656118445,0.6647812159660345,0.6646240169490816,0.9837826790109517
0.08700805937655495,0.668515374107659,0.6677954866685597,0.9845209654078818
0.08766283219192546,0.6714756032590529,0.6710521810164741,0.9853361427682175
0.08831760500729596,0.6749493429470399,0.6741950741718498,0.9865868475974067
0.08897237782266648,0.6773049654828895,0.6771558320733263,0.9873737975855297
0.08962715063803699,0.6792197887710808,0.679926668693079,0.9880450746595456
0.09028192345340749,0.6815121422413754,0.68258312386971,0.9889653883134821
0.090936696268778,0.6852268786499015,0.6851172001556259,0.9898421914173872
0.09159146908414852,0.6882089481634325,0.6874939526089583,0.990326034346235
0.09224624189951902,0.6907934606478706,0.6898779360606985,0.9906044894864197
0.09290101471488953,0.6928089286599156,0.6922308220305678,0.9909596281572678
0.09355578753026003,0.6948200963406138,0.6945812680274568,0.9915090996664007
0.09421056034563055,0.6962012365644957,0.6967746570814782,0.9922578217563026
0.09486533316100106,0.6978743777605325,0.6987557603300747,0.9926888211266915
0.09552010597637156,0.6997172638287454,0.7006429586172692,0.9929673419676862
0.09617487879174208,0.7037341996049193,0.702447958816501,0.9933849537761569
0.09682965160711259,0.7049325185111865,0.7042827452226605,0.9939077255503465
