Potential_E_V,k1_mA_per_mV_per_s,k2_mA_per_sqrt_mV_per_s,local_fit_R2
0.0012328205630183,-0.010173806418040087,0.015329931040322866,0.7781308696321089
0.001887593378388809,-0.010102962812286929,0.01646908395258337,0.7888216579873734
0.0025423661937593175,-0.010030502851173389,0.017452810146218994,0.8003581395885371
0.003197139009129827,-0.009940672179010917,0.01821975424119211,0.8116270018420166
0.0038519118245003356,-0.009856344466321014,0.018882487033361154,0.8230138524200944
0.004506684639870844,-0.009769066611555698,0.019482958022863556,0.834381188286459
0.005161457455241354,-0.009670724746890541,0.019979279623941987,0.845319544631057
0.005816230270611862,-0.009566148579539085,0.020390492199383634,0.8548785239017883
0.006471003085982371,-0.009462807009539578,0.02077009958112647,0.8648365232347368
0.0071257759013528795,-0.00934566014219797,0.0210452065033091,0.8744564482607259
0.007780548716723388,-0.00921416533283667,0.02125681559250377,0.8824604870910087
0.008435321532093898,-0.009087159952691912,0.02146936635278182,0.8904376308166793
0.009090094347464406,-0.008959535191332439,0.021650964805065755,0.8981893079980358
0.009744867162834915,-0.00883545012637433,0.021788334361901262,0.9049059582994874
0.010399639978205423,-0.008707378131421861,0.02189230266828195,0.9109708993397939
0.011054412793575932,-0.008577865840612776,0.021982486834949907,0.9167800375534882
0.01170918560894644,-0.008446342591241945,0.022033004462218956,0.9216499490438315
0.01236395842431695,-0.008309414531342848,0.02204854603388791,0.9261002711037942
0.013018731239687458,-0.008158870638004745,0.021995594004968495,0.9308690248129083
0.013673504055057966,-0.008015484535813496,0.021969383023632133,0.9348539510326174
0.014328276870428475,-0.007877818705340479,0.021957345933328307,0.9382525847080629
0.014983049685798985,-0.00773427436550339,0.021867416920993542,0.9410692195352132
0.015637822501169494,-0.007597583284446385,0.021786387457268172,0.9428153990205629
0.016292595316540003,-0.007461142201260955,0.021700810966989625,0.9440580623162693
0.016947368131910515,-0.007311192435316152,0.021580803424280277,0.9463832789753649
0.017602140947281023,-0.007159755228715312,0.02143342908648744,0.9482646765942884
0.018256913762651532,-0.007007683365714491,0.02126340576194024,0.9497632522914683
0.01891168657802204,-0.006861488888380323,0.021099525618554268,0.9502925475305974
0.01956645939339255,-0.006720947149725028,0.020945462790680314,0.9498979111645234
0.020221232208763058,-0.006589830109138642,0.02081798936478426,0.9491412597759308
0.020876005024133566,-0.006445559588656522,0.020641019586402885,0.9489794282923919
0.021530777839504075,-0.006303823840641299,0.020456029631652915,0.9487765551078288
