Potential_V,Scan_rate_mV_s,Current_capacitive_mA,Current_diffusion_mA,Current_total_reconstructed_mA
0.0012328205630183,5.0,-0.0508690320902,0.03427876789654585,-0.01659026419365415
0.0018875933783888,5.0,-0.050514814061434495,0.036825991245127185,-0.01368882281630731
0.0025423661937593,5.0,-0.050152514255866504,0.039025669885343506,-0.011126844370522998
0.0031971390091298,5.0,-0.0497033608950545,0.04074060901664563,-0.008962751878408864
0.0038519118245003,5.0,-0.049281722331605,0.04222252459085376,-0.007059197740751241
0.0045066846398708,5.0,-0.0488453330577785,0.04356521854189769,-0.005280114515880813
0.0051614574552413,5.0,-0.0483536237344525,0.04467502738061053,-0.003678596353841969
0.0058162302706118,5.0,-0.047830742897695,0.045594526652500925,-0.0022362162451940726
0.0064710030859823,5.0,-0.047314035047697496,0.04644335456283854,-0.0008706804848589572
0.0071257759013528,5.0,-0.0467283007109895,0.0470585123419198,0.0003302116309303049
0.0077805487167233,5.0,-0.046070826664183,0.04753168465001575,0.0014608579858327447
0.0084353215320938,5.0,-0.0454357997634595,0.04800696259866684,0.0025711628352073357
0.0090900943474644,5.0,-0.044797675956662,0.04841302908258239,0.003615353125920387
0.0097448671628349,5.0,-0.0441772506318715,0.04872019674970559,0.004542946117834089
0.0103996399782054,5.0,-0.043536890657109,0.04895267695027836,0.005415786293169363
0.0110544127935759,5.0,-0.0428893292030635,0.04915433487744195,0.006265005674378453
0.0117091856089464,5.0,-0.0422317129562095,0.04926729572607766,0.007035582769868161
0.0123639584243169,5.0,-0.04154707265671401,0.049302047736806735,0.007754975080092728
0.0130187312396874,5.0,-0.0407943531900235,0.049183643400596194,0.008389290210572692
0.0136735040550579,5.0,-0.040077422679067,0.04912503386457124,0.009047611185504241
0.0143282768704284,5.0,-0.039389093526702,0.04909811811240065,0.009709024585698646
0.0149830496857989,5.0,-0.038671371827516496,0.04889703072767062,0.010225658900154123
0.0156378225011694,5.0,-0.037987916422231496,0.04871584333860027,0.010727926916368771
0.01629259531654,5.0,-0.0373057110063045,0.04852448848906169,0.011218777482757195
0.0169473681319105,5.0,-0.0365559621765805,0.048256143465750766,0.011700181289170268
0.017602140947281,5.0,-0.035798776143576495,0.04792660442830705,0.012127828284730552
0.0182569137626515,5.0,-0.035038416828572005,0.047546420716859,0.012508003888286996
0.018911686578022,5.0,-0.0343074444419015,0.047179973576085485,0.012872529134183984
0.0195664593933925,5.0,-0.033604735748625,0.0468354786201536,0.013230742871528603
0.020221232208763,5.0,-0.032949150545693,0.046550439374525146,0.013601288828832145
0.0208760050241335,5.0,-0.0322277979432825,0.04615472292010126,0.013926924976818758
0.021530777839504,5.0,-0.031519119203206,0.045741072806125875,0.014221953602919876
0.0221855506548745,5.0,-0.030765939142267,0.045205437198559184,0.014439498056292185
0.022840323470245,5.0,-0.030007676325563,0.04464470034303861,0.014637024017475606
0.0234950962856156,5.0,-0.029300085028754003,0.04413408217041035,0.014833997141656348
0.0241498691009861,5.0,-0.028642045597352,0.04365931616391935,0.015017270566567348
0.0248046419163566,5.0,-0.027989874362966502,0.04325462988305667,0.01526475552009017
0.0254594147317271,5.0,-0.027290357697881504,0.042775177631734586,0.015484819933853082
0.0261141875470976,5.0,-0.026585467977838,0.04219931411382545,0.015613846135987451
0.0267689603624681,5.0,-0.0258611824141355,0.04160778457127552,0.01574660215714002
0.0274237331778386,5.0,-0.0251660914133695,0.04103965500986928,0.01587356359649978
0.0280785059932091,5.0,-0.024526899513116502,0.04049073872592633,0.01596383921280983
0.0287332788085796,5.0,-0.023904002045735,0.04000612729528184,0.016102125249546843
0.0293880516239501,5.0,-0.023289059326523996,0.03954445066906059,0.01625539134253659
0.0300428244393206,5.0,-0.022653086465238496,0.03901388455511085,0.016360798089872355
