scan_rate_mV_s,fractional_capacitive_from_k1k2,fractional_capacitive_uploaded,difference
5.0,0.16107638742586838,0.2870739904027622,-0.12599760297689383
10.0,0.21354845366844766,0.3879049414506259,-0.17435648778217822
20.0,0.2774604482018246,0.494296016488278,-0.2168355682864534
30.0,0.3198717577747084,0.5609302429042357,-0.24105848512952727
40.0,0.35194054761127985,0.6162787446860211,-0.2643381970747412
50.0,0.37778783015590295,0.6688686990717141,-0.29108086891581114
