Potential_V,Scan_rate_mV_s,Current_A,log10_scan_rate,log10_current,log10_fit,b_fit_from_regression,R2_from_regression,b_smooth_uploaded,R2_uploaded
0.1362794735653229,5.0,3.0462691798942256e-05,0.6989700043360189,-4.51623172339737,-4.513371759255894,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.1362794735653229,10.0,5.1748648333093e-05,1.0,-4.2861009894294115,-4.288918618478139,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.1362794735653229,20.0,8.608957923697248e-05,1.3010299956639813,-4.0650494147922895,-4.064465477700383,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.1362794735653229,30.0,0.00011753778089152628,1.4771212547196624,-3.929822513006192,-3.933168807176309,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.1362794735653229,40.0,0.0001458526289407204,1.6020599913279623,-3.8360857384712275,-3.840012336922627,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.1362794735653229,50.0,0.00016811203860437384,1.6989700043360187,-3.7744011853574113,-3.7677545649205593,0.7456171943353351,0.999785917244975,0.744724538869417,0.999785917244975
0.2502603954250621,5.0,0.0005951312709871207,0.6989700043360189,-3.2253872292674792,-3.2148143097475956,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.2502603954250621,10.0,0.0007430588704491161,1.0,-3.1289767769549472,-3.1408828972629315,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.2502603954250621,20.0,0.0008710678881465605,1.3010299956639813,-3.059947996199585,-3.066951484778267,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.2502603954250621,30.0,0.0009476572195011695,1.4771212547196624,-3.0233487244758916,-3.02370438084939,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.2502603954250621,40.0,0.0010014611968911982,1.6020599913279623,-2.9993658734323185,-2.9930200722936022,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.2502603954250621,50.0,0.0010676624823276202,1.6989700043360187,-2.971566018121641,-2.9692194735200825,0.24559483622751324,0.9921788129897494,0.2450776466779661,0.99217881298975
0.3127660622513707,5.0,0.0009758514517774416,0.6989700043360189,-3.0106162874392264,-3.057809503752458,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.3127660622513707,10.0,0.0014771961520677653,1.0,-2.830561832308571,-2.781922401658541,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.3127660622513707,20.0,0.0028508491696711677,1.3010299956639813,-2.5450257593697123,-2.5060352995646236,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.3127660622513707,30.0,0.00452799895136606,1.4771212547196624,-2.3440936823975207,-2.344651690407053,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.3127660622513707,40.0,0.006201770434764965,1.6020599913279623,-2.2074843136807663,-2.2301481974707063,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.3127660622513707,50.0,0.007514193838228749,1.6989700043360187,-2.1241176059471996,-2.1413323882896163,0.9164771154628419,0.9888786814872587,0.9142281334993908,0.9888786814872588
0.4386965968867277,5.0,0.0005983249987080572,0.6989700043360189,-3.223062851454868,-3.214058744993716,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
0.4386965968867277,10.0,0.000817461111493169,1.0,-3.0875328985644903,-3.109044965612208,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
0.4386965968867277,20.0,0.0009735260513302181,1.3010299956639813,-3.0116524223693433,-3.0040311862306996,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
0.4386965968867277,30.0,0.0011097762909930522,1.4771212547196624,-2.954764557590763,-2.942602063233513,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
0.4386965968867277,40.0,0.0012527806240889097,1.6020599913279623,-2.9021249721733775,-2.8990174068491914,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
0.4386965968867277,50.0,0.001396924114060544,1.6989700043360187,-2.8548271856824616,-2.865210520915981,0.3488482240777355,0.9903698678414435,0.3489278392461972,0.9903698678414437
