scan_rate_mV_s,sqrt_scan_rate_sqrt_mV_s,peak_potential_V,peak_current_mA
5.0,2.23606797749979,0.294733315706253,1.436554826796
10.0,3.1622776601683795,0.29169425368309,2.4827718734740998
20.0,4.47213595499958,0.292656749486923,4.7925356775522
30.0,5.477225575051661,0.296612560749054,6.6889030858874
40.0,6.324555320336759,0.298582524061203,8.0831153318285
50.0,7.0710678118654755,0.299536794424057,9.0651968494057
