scan_rate_mV_s,fractional_capacitive_fcap
5.0,0.2870739904027624
10.0,0.387904941450626
20.0,0.4942960164882782
30.0,0.5609302429042355
40.0,0.6162787446860212
50.0,0.6688686990717142
