J_A_g^-1,window_start_s,window_end_s,retained_window_length_s,mask_points,V0_base_V,Rs_base_ohm,effective_IR_drop_base_mV,Csp_base_F_g^-1,A_base,tau_base_s,Csp_CI2.5_F_g^-1,Csp_median_F_g^-1,Csp_CI97.5_F_g^-1,IRdrop_CI2.5_mV,IRdrop_median_mV,IRdrop_CI97.5_mV,A_CI2.5,A_median,A_CI97.5,tau_CI2.5_s,tau_median_s,tau_CI97.5_s
1,3.2604038499994985,5.7504040000495,2.490000150050001,250,0.2474216269246308,0.009867003129131,9.86700312913102,86.680364852225,6.3226138863734145e-09,8.999999995913857,86.53674282576921,86.7477332637856,90.639661130207,9.83059460030345,9.866927910429968,9.890377182579083,2.8227424172455006e-14,3.2997702214881616e-05,0.0052008409645115,0.0001062969675268,8.971292838293767,8.999999999999076
2,1.638463709969102,4.1374642299488045,2.4990005199797025,2500,0.2555734027400202,0.0097327164676884,19.465432935376917,276.0344470595303,0.1603374180130516,8.999999959540018,111.8795560054563,264.0322101826214,292.955682659003,19.42462896503277,19.465189695492228,19.49903939024815,0.0213975627102859,0.156929645758503,0.1647294852632905,2.865463878408104,8.999996915425946,8.999999994760719
3,0.6904520799880056,3.189452260034997,2.499000180046991,2500,0.2774363180109869,0.0096274446075001,28.882333822500318,81.85470508582974,3.3918357442403824e-12,8.999999999917563,81.76263774854056,81.88833525864675,84.3593349623573,28.770868184968705,28.88073420880672,28.92889990233197,4.314678514189673e-16,1.6961444008780874e-06,0.0109631131897929,0.0001005560689196,8.999120638149202,8.999999999999996
4,0.6874453800269862,2.1864450599539964,1.4989996799270102,1500,0.2776367766361382,0.0094658263819948,37.86330552797945,76.19468812875888,8.292266865574596e-12,8.999999999894902,76.0466276512466,76.36375205926868,86.28803607650342,37.22707015760557,37.858977387061046,37.949614949327696,1.0589534633492825e-17,0.0004418506261788,0.0603973594440834,0.0001000001203635,3.3648237526662315,8.999999999999998
5,0.6004155599509886,1.6784150699389784,1.0779995099879898,1079,0.2827494510085735,0.0093393936021139,46.69696801056996,71.00830527405118,4.6725143270582555e-15,8.999999999999817,70.76544991416131,71.2822246700737,99.87318837608576,46.36411534855771,46.69172681771859,46.921500061593306,8.836058901402135e-16,0.0007004022187795,0.1897745177653531,0.0001001804817232,8.997038922918408,8.999999999999998
