J_A_g^-1,V0,Rs,Csp_F_g^-1,A,tau_s,effective_IR_drop_mV,mask_points,window_start_s,window_end_s
1,0.2808998495376823,0.00986700312913102,82.08268396494205,0.0,9.0,9.86700312913102,918,1.020404070033699,10.1904039400397
2,0.2837189520967451,0.009732716467688456,80.75702396739435,0.0,9.0,19.465432935376914,4511,0.6164643500233069,5.126464340020903
3,0.2888111214176615,0.009627444607500105,76.6425806985272,0.0,9.0,28.882333822500314,2914,0.4754521000440088,3.3884520500440085
4,0.2940145966772055,0.009465826381994863,71.8581587139351,0.0,9.0,37.86330552797945,2098,0.410445009940986,2.5074450100079853
5,0.2978504356018702,0.009339393602113992,66.63859685454328,0.0,9.0,46.69696801056996,1575,0.4004157399759833,1.9744157999519985
