J_A_g^-1,Residual_mean_mV,Residual_std_mV,Residual_max_abs_mV,N_points,window_start_s,window_end_s
1,-7.554354140543114e-14,8.318877841437104,44.087612194353696,918,1.020404070033699,10.1904039400397
2,1.209702551682015e-14,5.032889905600043,29.430337564324837,4511,0.6164643500233069,5.126464340020903
3,-6.312467516594878e-14,3.4025225624893745,17.137671333808253,2914,0.4754521000440088,3.3884520500440085
4,2.6720200038383635e-13,3.581886252811149,17.905319383723793,2098,0.410445009940986,2.5074450100079853
5,-1.1173792050353119e-13,4.632604352729791,17.93679858595039,1575,0.4004157399759833,1.9744157999519985
