J_A_g^-1,Csp_base_F_g^-1,Csp_median_F_g^-1,Csp_CI2.5_F_g^-1,Csp_CI97.5_F_g^-1,IRdrop_base_mV,IRdrop_median_mV,IRdrop_CI2.5_mV,IRdrop_CI97.5_mV,A_median,A_CI2.5,A_CI97.5,tau_median_s,tau_CI2.5_s,tau_CI97.5_s
1,99.0876457235766,99.1286302705513,98.6000265889823,99.65238835783501,9.86700312913102,9.86700312913102,9.86700312913102,9.86700312913102,0.0,0.0,0.0,9.0,9.0,9.0
2,90.02908328210498,90.01538059959415,89.9074379826454,90.13615425000829,19.465432935376914,19.465432935376914,19.465432935376914,19.465432935376914,0.0,0.0,0.0,9.0,9.0,9.0
3,82.62651540927513,82.61649094540422,82.5122170999024,82.72682779643704,28.882333822500314,28.882333822500314,28.882333822500314,28.882333822500314,0.0,0.0,0.0,9.0,9.0,9.0
4,70.89006794626557,70.87888864609477,70.75556429483144,71.08057868838678,37.86330552797945,37.86330552797945,37.86330552797945,37.86330552797945,0.0,0.0,0.0,9.0,9.0,9.0
5,61.27702420765139,61.239152184158286,60.92660592733132,61.530052943420415,46.69696801056996,46.69696801056996,46.69696801056996,46.69696801056996,0.0,0.0,0.0,9.0,9.0,9.0
