J_A_g^-1,time_abs_s,time_rel_s,V_exp_V,V_fit_V,Residual_mV
1,1.020404070033699,0.0,0.315120458602905,0.2710328464085513,44.087612194353696
1,1.0304041900672,0.010000120033501148,0.314241260290146,0.2709110165712403,43.330243718905706
1,1.0404039300047003,0.0199998599710014,0.313372373580933,0.2707891913645771,42.58318221635593
1,1.0504038200015984,0.029999749967899447,0.312505543231964,0.27066736432976457,41.83817890219943
1,1.0604038200108956,0.039999749977196686,0.311642020940781,0.27054553595468894,41.09648498609203
1,1.0704039400444003,0.049999870010701386,0.310772091150284,0.27042370611737787,40.34838503290611
1,1.0804038200295023,0.059999749995803375,0.309915512800217,0.27030187920453747,39.613633595679545
1,1.0904038400621996,0.06999977002850066,0.309058755636215,0.27018005058552,38.87870505069496
1,1.1004038900137,0.07999981998000116,0.308209180831909,0.2700582216020066,38.15095922990241
1,1.1104039300699,0.08999986003620108,0.307363450527191,0.269936392739046,37.42705778814498
1,1.1204040200682996,0.09999995003460072,0.306527346372604,0.2698145632676478,36.71278310495618
1,1.1304039200768,0.10999985004310098,0.305689960718155,0.2696927361108656,35.99722460728943
1,1.1404038900509956,0.1199998200172967,0.304860413074493,0.2695709081017027,35.28950497279032
1,1.1504041100852973,0.13000004005159838,0.304041236639023,0.26944907704609816,34.59215959292483
1,1.1604034299963004,0.1399993599626015,0.303208351135254,0.2693272569565495,33.881094178704494
1,1.1704040400219,0.1499999699882011,0.302383124828339,0.2692054211497444,33.177703678594625
1,1.1804040700663023,0.1600000000326034,0.30156210064888,0.2690835924087559,32.47850824012411
1,1.1904040800874045,0.17000001005370557,0.300747811794281,0.26896176391170806,31.786047882572944
1,1.2004041100153984,0.18000003998169944,0.299940347671509,0.2688399351721378,31.10041249937123
1,1.2104041600833,0.19000009004960106,0.299144834280014,0.2687181061872063,30.426728092807664
1,1.2204039300559,0.19999986002220105,0.298343539237976,0.26859628061463037,29.74725862334565
1,1.2304039300653002,0.20999986003160132,0.297548294067383,0.26847445223955346,29.073841827829515
1,1.2404040000402006,0.21999993000650164,0.29675617814064,0.2683526230120982,28.403555128541758
1,1.2504040000494996,0.22999993001580066,0.295978873968124,0.26823079463702254,27.74807933110146
1,1.2604040700244,0.23999999999070099,0.295197635889053,0.2681089654095673,27.08867047948571
1,1.270403980044696,0.24999991001099708,0.294426411390305,0.26798713813081304,26.43927325949197
1,1.280403980054004,0.259999910020305,0.293653726577759,0.26786530975573725,25.788416822021766
1,1.290404170053101,0.2700001000194021,0.292892545461655,0.26774347906604673,25.149066395608266
1,1.3004039300140011,0.2799998599803022,0.292129755020142,0.2676216536154417,24.508101404700277
1,1.3104039300232984,0.28999985998959943,0.291376024484634,0.2674998252403661,23.876199244267927
1,1.3204041300341984,0.3000000600004995,0.290625721216202,0.26737799442870336,23.247726787498646
1,1.3304041700904037,0.31000010005670475,0.289894193410873,0.2672561655657428,22.63802784513025
1,1.340403830050496,0.319999760016797,0.289157837629318,0.2671343413334313,22.023496295886737
1,1.3504038900137,0.32999981998000116,0.288425803184509,0.267012512227947,21.413290956562026
1,1.360403869999601,0.3399997999659021,0.287705510854721,0.2668906840968131,20.814826757907912
1,1.370404010056605,0.34999994002290613,0.286994278430939,0.266768854015559,20.22542441538
1,1.3804040399845956,0.35999996995089667,0.286282956600189,0.2666470252759887,19.63593132420027
1,1.390404070029101,0.369999999995402,0.285576909780502,0.266525196534999,19.051713245502977
