J_A_g^-1,bootstrap_id,V0,Rs,Csp_F_g^-1,A,tau_s,effective_IR_drop_mV
1,1,0.24743105955210076,0.00986690234586576,86.61790197210779,1.1204013132232712e-12,8.999999999974566,9.86690234586576
1,2,0.24743370244323606,0.009869980469389025,89.55446446479482,0.003758222478716694,8.999972850390522,9.869980469389025
1,3,0.24743334955972698,0.00986199679584489,88.74509479066683,0.0027807592880016744,8.833776227808876,9.86199679584489
1,4,0.24742799736991083,0.009857274969302797,86.84496657039602,3.959013875497883e-05,0.11217973677441131,9.857274969302797
1,5,0.24744065762165196,0.00983551336963126,88.86674745178853,0.003083867162769419,8.654235958520596,9.83551336963126
1,6,0.24743470050249716,0.009866831722620827,86.66411322373445,8.449339696157725e-11,8.999999999999918,9.866831722620827
1,7,0.24744381379972732,0.009866712238539266,86.61341826332539,1.2750210480029858e-09,8.999999999995087,9.866712238539266
1,8,0.24741578654600055,0.00989036493282473,86.81828089257033,2.2718721657177553e-16,0.00028360065350518937,9.89036493282473
1,9,0.24742726297122047,0.009866956676022286,86.63952762374969,3.5831419810136393e-13,8.999999999999076,9.866956676022287
1,10,0.24743179151706077,0.009862481861386605,86.53738011796786,4.209423017557118e-06,8.907773803539266,9.862481861386605
1,11,0.2474378230303584,0.009866790788264551,86.68360458559668,2.8364586905617734e-14,0.004694841755187085,9.86679078826455
1,12,0.24741961103735408,0.009867029504289847,86.74134033402198,1.0387703057454235e-12,7.031274310415737,9.867029504289848
1,13,0.24740608549979703,0.009866673071208861,87.14363170486793,0.00044379036294556494,8.99995580080496,9.866673071208862
1,14,0.24745174018314303,0.009866608147723634,87.96631382940012,0.0018150975479340312,8.999999999998629,9.866608147723634
1,15,0.24741565811586427,0.009890854922998961,86.7459732553413,8.702482296938306e-08,8.999999999884851,9.890854922998962
1,16,0.24749202179224253,0.009844708456637662,86.66869115510208,8.717976097839274e-05,0.2864692017940677,9.844708456637662
1,17,0.24748931313776967,0.009833204809626891,86.79951957232286,0.00013245227702100702,0.3060004342765363,9.833204809626892
1,18,0.2474408599985559,0.0098597531401619,90.63129237266845,0.005188987794366586,8.999999747793481,9.8597531401619
1,19,0.24750447713479168,0.009777719320333653,86.73859114770393,0.0001926702864400325,0.019226855247890123,9.777719320333652
1,20,0.2474133894942592,0.009867111129500554,86.76034429361523,7.472887873218256e-07,0.00012054907520031577,9.867111129500554
1,21,0.2474623513633311,0.009845739994642142,86.71349503937317,7.86526920129051e-05,0.03873226839823136,9.845739994642143
1,22,0.247450812404992,0.009866735965032855,86.49421194219111,9.694666932664605e-11,8.999999999740945,9.866735965032856
1,23,0.24744116953691575,0.00986674690511851,87.66954643896254,0.001364784061995545,8.975869743772819,9.86674690511851
1,24,0.2474169556632021,0.009885687214575166,86.78107505447346,3.8098188550631577e-08,8.999999999871752,9.885687214575166
1,25,0.2474570155641143,0.009804152043541969,86.64280035552027,8.675892486525378e-05,0.000106379274335211,9.804152043541968
1,26,0.24742035966779793,0.00987207462614196,86.711315776044,6.038162336147068e-07,0.00010308700199956888,9.87207462614196
1,27,0.24744374632184518,0.009866713123229067,86.58212835804852,5.341015521350352e-10,8.999999999990301,9.866713123229067
1,28,0.24741469962028345,0.00989469482691196,86.78173047813331,2.1608588955182364e-07,8.999999999701707,9.89469482691196
1,29,0.24741456813816118,0.009867095920512573,86.75538006924981,6.500338818790731e-13,0.00010779444817510253,9.867095920512574
1,30,0.24742545845610805,0.009866953474994172,86.70379455312504,6.092487820297763e-07,0.00010184183491190879,9.866953474994173
1,31,0.24743840014469504,0.00986678320220414,86.68369442943968,2.287807757910886e-14,0.0015646006244391941,9.86678320220414
1,32,0.24741882917788263,0.009887815119824228,87.51545722942483,0.000976680664310033,8.99999943839116,9.887815119824229
1,33,0.2474271122621817,0.009860079401614012,87.68911309010636,0.0014203716003951376,8.943096249036449,9.860079401614012
1,34,0.2474697324942777,0.009866375754089952,87.53238814247332,0.0014499726276124296,8.99999974384542,9.866375754089953
1,35,0.24744828322151705,0.009875948080309688,86.54165936805403,1.2444854277100934e-06,8.999999999973836,9.875948080309689
1,36,0.247418887714216,0.009877949992443466,86.70768546165333,5.1498443429362504e-09,8.999999999989106,9.877949992443467
1,37,0.24743377608638167,0.009850620971050359,86.64363087066873,2.6405265674784397e-05,0.24066080173520657,9.85062097105036
1,38,0.24742483125468295,0.009862761385279677,87.58344028873402,0.0012391558624672192,8.954121193072801,9.862761385279677
1,39,0.24742470747836984,0.009871221042274697,87.25166059618361,0.0007379973287066048,8.999858795970477,9.871221042274698
1,40,0.24744724887490785,0.009858452421143629,87.82912155752146,0.000623102156133053,2.5452680536390826,9.858452421143628
1,41,0.2474453910692893,0.009831272614579384,86.66916040194924,6.736569748476786e-05,0.2034511901563103,9.831272614579385
1,42,0.24742878413480163,0.009873068972859214,86.67160296584076,1.3409282192748882e-05,0.45243953841696155,9.873068972859214
1,43,0.24741838745957712,0.009867036142148107,87.49951830496569,0.0010199457108823007,8.999995700433924,9.867036142148107
1,44,0.24744227370857141,0.009871182049660409,89.61830308532609,0.0038444598117305905,8.966715932814717,9.871182049660408
1,45,0.24741686393479595,0.009886050367167618,86.82097230076293,3.2279116997360355e-09,8.99999999999402,9.886050367167618
1,46,0.24742489517859179,0.009867073884479,86.60389991497158,1.405190085105051e-08,8.999152184183108,9.867073884479
1,47,0.24744969234007816,0.009867370806788869,86.55216362836116,3.481309259833298e-09,8.999999710939935,9.867370806788868
1,48,0.24746359474501897,0.009866297990306323,87.66312734297952,0.0015171305882083427,8.999999724475318,9.866297990306323
1,49,0.2474314720020136,0.009867700527470404,86.63527696216946,1.8691767934814574e-06,8.999878846891951,9.867700527470404
1,50,0.2474611368715283,0.009862093597867662,87.22243131035702,0.00021802923273786507,1.112526762140376,9.862093597867663
1,51,0.2474406477076528,0.009859507358218509,91.59776598879117,0.006205039777403587,8.785770617599301,9.859507358218508
1,52,0.247417239732247,0.009884551974567909,86.75172723661892,4.644965625156772e-07,8.999999998979868,9.88455197456791
1,53,0.24744363085138205,0.009866714636975249,87.95626624755887,0.0017595727626274456,8.86341169894728,9.86671463697525
1,54,0.24742101831719102,0.00986979633181015,86.67855933344507,5.585530636859563e-07,0.000984044733309375,9.86979633181015
1,55,0.24741405982545217,0.009867102368931173,86.73118880716753,1.1343539235328326e-12,6.262893594393204,9.867102368931173
1,56,0.24742066764117615,0.009867015706231181,86.70284539061431,5.112419368370862e-11,8.99269418117072,9.86701570623118
1,57,0.24743577425846427,0.009856146846764086,89.15016792149054,0.003388608009434343,8.99999958659355,9.856146846764085
1,58,0.2474683747246873,0.009866390221962108,90.96604267421013,0.005663114600163494,8.999928432660912,9.866390221962108
1,59,0.2474218208041099,0.009881316812929645,87.65808049318002,0.0012251178448731996,8.940054305795558,9.881316812929645
