y_px,x_px
146,145
159,93
170,109
139,178
135,125
113,148
149,194
130,143
108,113
140,109
134,199
178,143
151,124
181,126
194,137
123,178
159,160
127,166
201,162
143,162
87,136
182,195
131,80
166,195
203,99
199,115
110,161
171,229
171,178
215,177
194,210
129,215
91,116
161,212
127,93
119,201
185,109
210,127
144,213
188,161
222,144
163,136
107,185
98,152
141,232
90,188
175,88
250,169
103,134
215,115
193,183
230,119
234,165
155,179
177,215
229,185
100,84
177,71
101,208
195,68
83,152
137,57
78,166
205,230
112,95
114,224
200,246
224,206
96,100
92,170
148,75
156,232
205,148
74,187
237,154
253,153
115,81
243,132
123,107
232,101
85,218
189,233
162,76
221,232
167,53
209,210
221,81
215,89
86,78
109,248
59,194
190,86
211,194
210,67
103,63
237,220
169,250
246,114
232,246
87,65
236,83
