time_s,raw_V,smoothed_V,dVdt_V_per_s,abs_d2Vdt2_V_per_s2,local_residual_V,curvature_norm,residual_norm,stability_cost_ai,mask_qaoa_like_tighter
0.0,0.460070699453354,0.45109087432071027,-0.6193348491199371,253.24854472816813,0.005806097007442177,1.0,0.36524465999130734,0.7460978639965229,0
0.002444169949995967,0.451201379299164,0.44957711469350603,-1.2383173320247352,245.37369080447115,0.005834523348205032,0.9689046147043002,0.3670441528830285,0.7281604299757914,0
0.003444169997976587,0.447478353977203,0.4480855487330358,-1.480469141345992,109.97905852831025,0.005848661105800449,0.4342726966533941,0.3679391254195948,0.4077392681598744,0
0.004444169929001873,0.445633381605148,0.44661617643929946,-1.4582754776890567,22.19370819872961,0.005862748735770869,0.08763524556340758,0.3688309246914199,0.20011351721461254,0
0.005444169975987734,0.443948328495026,0.44516899781229713,-1.4360817254365372,22.193667568235924,0.005876787260817983,0.08763508512603717,0.3697196154393175,0.2004688972513493,0
0.006444170023996776,0.44237694144249,0.4437440128520287,-1.4138881404442998,22.193624563607386,0.005890775323783222,0.08763491531393566,0.3706051117501119,0.20082299388840616,0
0.007444169954994084,0.440892666578293,0.44234122155849426,-1.3916944767752568,22.193666854969138,0.005904715626811063,0.08763508230956517,0.37148758467957943,0.2011760832575709,0
0.0084441700019795,0.439494341611862,0.4409606239316938,-1.3695008072230053,22.19366756160889,0.005918609167543812,0.08763508509986905,0.3723670973821813,0.20152789001279395,0
0.009444169932976365,0.438139051198959,0.4396022199716273,-1.3473071421406928,22.57412914904876,0.005932458198372791,0.08913741133554126,0.3732437924426493,0.20277996377838448,0
0.010444169980985407,0.43684595823288,0.4382660096782947,-1.3243525493097934,22.56782924938193,0.005946265365877209,0.0891125349620412,0.37411783739927174,0.2031146559369334,0
0.01144534000198405,0.435623705387115,0.43695199305169613,-1.302145983257077,21.800006469240202,0.005973755758020876,0.08608063806355072,0.375858081269063,0.20199161534575566,0
0.012445339932980914,0.434405952692032,0.43566017009183144,-1.2807261412399669,21.806755974083444,0.005987432462225835,0.08610728979013377,0.37672386741453673,0.20235392083989498,0
0.013445339980989957,0.433254897594452,0.43439054079870076,-1.258532471676176,22.19366719989557,0.006001064576303594,0.08763508367157398,0.3775868308394357,0.2036157825387187,0
0.014445339911986821,0.432111263275146,0.43314310517230403,-1.2363388073061117,22.193701763219792,0.006014652809590783,0.08763522015155115,0.37844701644740175,0.2039599386698914,0
0.015445339959995863,0.431013137102127,0.4319178632126413,-1.2141450686156645,22.193666900666813,0.006028197470407641,0.08763508249001128,0.3793044437562504,0.20430282699650693,0
0.016445340006981723,0.429942607879639,0.4307148149197125,-1.191951471396493,22.193631349507655,0.00604170061840397,0.08763494210937663,0.38015924314945987,0.20464466252540994,0
0.017445339937978588,0.428907781839371,0.4295339602935176,-1.1697578064053005,22.19366751045925,0.00604170061840397,0.08763508489789479,0.38015924314945987,0.20464474819852085,0
0.01844533998598763,0.427869707345963,0.4283752993340567,-1.1475641368415097,22.193666925540697,0.006055162940871688,0.08763508258823063,0.38101145813515974,0.2049856328070023,0
0.019445339916984494,0.426879048347473,0.4272388320413298,-1.1253704730201548,22.14233982297378,0.006068586352185982,0.0874324075867773,0.38186120990040573,0.20520392851222868,0
0.020445339963998777,0.425910383462906,0.4261245584153368,-1.1032794576943559,22.143367976845184,0.006081967423662036,0.08743646745138993,0.3827082813967215,0.20554519302952257,0
0.021445150021975223,0.424943178892136,0.4250324784560778,-1.0810879618728961,22.247096643319196,0.006095311414293787,0.0878460601729149,0.38355300553794497,0.20612883831892692,0
0.022445149953000065,0.42398938536644,0.4239625921635527,-1.0587894720856923,22.246080165227113,0.006108616158859632,0.08784204641237733,0.3843952452575113,0.20646332595043093,0
0.02344514999998637,0.423068672418594,0.4229148995377616,-1.0365958020437631,22.19366746870577,0.006121883373125798,0.08763508473302307,0.3852351091697917,0.20667509450773053,0
0.024445149931977994,0.4221371114254,0.42188940057870444,-1.0144021376148373,22.193695329611558,0.006135115191945496,0.08763519474720348,0.3860727324189192,0.20701020981588977,0
0.025445149978992276,0.421251267194748,0.42088609528638127,-0.9922084118504699,106.27063474349796,0.0061483123525932805,0.41962926738526884,0.38690816167711,0.4065408251020053,0
0.02644515002700132,0.42037895321846,0.4199049836607427,-0.8018608578623798,143.87273831967326,0.0061614744304919,0.5681084531529534,0.38774137006704795,0.4959616199185912,0
