ROI,P_FFT_norm,A_off_norm,R_bp_norm,Delta_q_FFT_norm_raw,Delta_q_FFT_ordering_tendency_inverted,LOI_0_100,geometric_patch_weight_wi
ROI-1,0.09883344134802323,0.0,0.0,1.0,0.0,2.5,0.027691203453633066
ROI-2,0.6876215165262475,0.576502732240437,0.663650075414781,0.9637575166585405,0.03624248334145952,49.1,0.17315298197257642
ROI-3,1.0,1.0,1.0,0.0,1.0,100.0,0.4427193410570408
ROI-4,0.7261827608554762,0.49180327868852475,0.4218200100553044,0.02600357549163012,0.9739964245083699,65.4,0.28308007412351766
ROI-5,0.0,0.12841530054644806,0.20110608345902484,0.6409881358686819,0.35901186413131814,17.2,0.07335639939323196
