y_px,x_px
165,145
153,129
148,147
144,165
127,169
137,129
174,105
158,111
156,181
191,175
170,125
177,160
170,195
118,149
203,119
161,161
126,182
202,192
144,94
189,103
137,200
152,200
86,154
119,136
199,140
184,122
162,89
96,172
110,170
132,149
107,189
139,186
172,182
133,76
214,136
150,75
104,139
194,158
182,141
223,169
120,203
185,195
110,101
141,111
92,190
91,122
207,172
116,80
107,117
230,133
132,222
199,211
127,98
88,139
177,87
220,186
210,225
117,220
125,114
155,56
225,155
151,213
158,251
180,71
194,231
93,102
161,232
223,97
98,82
211,152
178,231
76,183
183,211
58,126
147,236
195,82
232,116
207,98
131,239
228,76
100,224
64,173
137,60
140,253
192,247
82,88
105,63
221,113
74,124
253,167
73,211
247,130
242,148
55,211
248,199
70,69
67,89
223,240
63,109
239,169
206,244
228,222
202,262
186,50
164,217
77,105
88,207
