RamanShift_cm-1,Intensity_raw,Baseline_ALS,Intensity_corrected
1200.09,977.0,998.4126166342755,-21.412616634275537
1201.19,994.131,999.0228824937898,-4.891882493789808
1202.29,997.289,999.633146233455,-2.344146233455035
1203.39,996.179,1000.243405249126,-4.064405249126025
1204.49,997.184,1000.8536567045868,-3.669656704586828
1205.58,993.792,1001.4638973612446,-7.6718973612445325
1206.68,997.12,1002.0741236172101,-4.9541236172101435
1207.78,1008.05,1002.6843311110763,5.365668888923665
1208.87,1000.62,1003.2945149909775,-2.6745149909775137
1209.97,995.119,1003.9046704104144,-8.785670410414355
1211.07,986.976,1004.5147922581103,-17.538792258110334
1212.17,1011.3,1005.1248745530073,6.175125446992638
1213.26,1006.47,1005.7349095777067,0.7350904222932968
1214.36,1002.01,1006.344889620986,-4.334889620986019
1215.46,1007.04,1006.9548069723585,0.08519302764148051
1216.55,1006.98,1007.5646534921832,-0.584653492183179
1217.65,1011.57,1008.174421040904,3.395578959096042
1218.74,1006.07,1008.784101421084,-2.7141014210839103
1219.84,1010.21,1009.3936864386819,0.8163135613181112
1220.93,1006.08,1010.0031676309611,-3.923167630961075
1222.03,1014.62,1010.612536536001,4.007463463998988
1223.12,1013.38,1011.2217843034874,2.1582156965125705
1224.22,1005.36,1011.8309020871136,-6.470902087113586
1225.31,1010.35,1012.4398810427317,-2.0898810427316903
1226.41,1019.1,1013.0487116855738,6.051288314426188
1227.5,1006.36,1013.657384323974,-7.297384323974029
1228.6,1024.3,1014.2658892723178,10.034110727682105
1229.69,1014.57,1014.8742161225497,-0.30421612254963293
1230.78,1018.78,1015.4823544766477,3.29764552335223
1231.88,1021.57,1016.0902939064725,5.479706093527511
1232.97,1019.81,1016.6980239871832,3.11197601281674
1234.06,1022.06,1017.3055342994182,4.754465700581704
1235.16,1024.62,1017.9128144269288,6.707185573071115
1236.25,1027.61,1018.5198539582204,9.090146041779462
1237.34,1016.56,1019.1266424885064,-2.5666424885064316
1238.43,1028.73,1019.7331696220893,8.996830377910669
1239.53,1040.57,1020.3394247091741,20.23057529082587
1240.62,1022.78,1020.9453971089623,1.8346028910376617
1241.71,1021.91,1021.5510762008869,0.3589237991130858
1242.8,1026.27,1022.1564513662155,4.1135486337844895
1243.89,1033.34,1022.7615119865749,10.578488013425044
1244.99,1027.89,1023.3662474477052,4.523752552294923
1246.08,1025.31,1023.970647145926,1.3393528540739226
1247.17,1036.12,1024.574700482081,11.54529951791892
1248.26,1038.82,1025.1783968583527,13.641603141647238
1249.35,1034.85,1025.7817256884698,9.068274311530104
1250.44,1033.37,1026.3846763998026,6.985323600197262
1251.53,1027.49,1026.9872384287896,0.5027615712103852
1252.62,1040.13,1027.5894012188546,12.54059878114549
1253.71,1043.48,1028.1911542139246,15.288845786075399
1254.8,1051.0,1028.7924868704674,22.207513129532572
1255.89,1040.48,1029.39338866024,11.086611339760111
1256.98,1039.7,1029.9938490772067,9.706150922793313
1258.07,1047.72,1030.5938576264193,17.126142373580706
1259.16,1048.14,1031.193403822635,16.94659617736511
1260.24,1043.23,1031.7924771977375,11.437522802262492
1261.33,1045.19,1032.3910673005578,12.798932699442275
1262.42,1048.66,1032.9891636913642,15.670836308635899
1263.51,1043.68,1033.5867559432238,10.093244056776257
1264.6,1041.96,1034.1838336448752,7.776166355124815
1265.69,1047.64,1034.7803863951506,12.859613604849528
1266.77,1053.02,1035.3764038006589,17.64359619934112
1267.86,1051.22,1035.9718754808687,15.248124519131352
1268.95,1055.24,1036.5667910728919,18.673208927108135
1270.04,1055.19,1037.161140229089,18.02885977091114
1271.12,1059.08,1037.7549126204933,21.325087379506613
1272.21,1058.31,1038.348097936168,19.961902063831985
1273.3,1049.23,1038.9406858865013,10.289314113498676
1274.38,1058.79,1039.5326662018442,19.25733379815574
1275.47,1060.75,1040.1240286228367,20.625971377163296
1276.56,1062.39,1040.7147629093763,21.675237090623796
1277.64,1067.39,1041.3048588419863,26.085141158013812
1278.73,1053.15,1041.8943062228655,11.255693777134638
1279.81,1063.44,1042.4830948802976,20.95690511970247
1280.9,1063.4,1043.0712146538224,20.32878534617771
1281.98,1057.74,1043.6586554039363,14.081344596063673
1283.07,1065.76,1044.2454070114652,21.514592988534787
1284.15,1062.45,1044.8314593713162,17.61854062868383
1285.24,1066.44,1045.416802399911,21.023197600089134
1286.32,1077.03,1046.0014260312898,31.028573968710134
1287.41,1076.97,1046.5853202205171,30.384679779482894
1288.49,1063.14,1047.168474953686,15.971525046314127
1289.57,1066.76,1047.7508802472742,19.009119752725837
1290.66,1076.57,1048.3325261337313,28.2374738662686
1291.74,1068.69,1048.9134026645168,19.776597335483302
1292.83,1068.57,1049.4934999193274,19.07650008067253
1293.91,1072.82,1050.0728079976368,22.747192002363136
1294.99,1085.59,1050.6513170179953,34.93868298200459
1296.07,1079.08,1051.2290171217007,27.85098287829919
1297.16,1080.77,1051.80589848499,28.964101515010043
1298.24,1074.65,1052.3819513119513,22.268048688048793
1299.32,1081.8,1052.9571658356372,28.842834164362785
1300.4,1086.31,1053.531532311369,32.77846768863105
1301.49,1086.21,1054.1050410233108,32.104958976689204
1302.57,1081.05,1054.6776822884058,26.372317711594178
1303.65,1087.06,1055.2494464557024,31.81055354429759
1304.73,1085.26,1055.8203239006211,29.439676099378858
1305.81,1079.88,1056.3903050303936,23.48969496960649
1306.89,1082.82,1056.959380281691,25.860619718308953
1307.97,1093.47,1057.5275401146748,35.942459885325206
1309.05,1093.47,1058.0947750153678,35.37522498463227
1310.13,1097.34,1058.6610755057354,38.67892449426449
1311.22,1088.12,1059.2264321431185,28.89356785688142
1312.3,1085.2,1059.7908355235365,25.409164476463502
1313.38,1094.64,1060.3542762719028,34.28572372809731
1314.46,1097.79,1060.9167450385403,36.87325496145968
1315.53,1104.99,1061.478232508058,43.51176749194201
1316.61,1110.04,1062.0387294019383,48.00127059806164
1317.69,1097.11,1062.5982264851757,34.5117735148242
1318.77,1109.04,1063.1567145707654,45.88328542923455
1319.85,1104.64,1063.714184506215,40.925815493785194
1320.93,1112.89,1064.270627184915,48.61937281508517
1322.01,1107.14,1064.8260335411821,42.31396645881796
1323.09,1106.08,1065.3803945579523,40.69960544204764
1324.17,1105.99,1065.9337012604756,40.056298739524436
1325.24,1121.51,1066.485944714702,55.02405528529789
1326.32,1113.74,1067.0371160266388,46.70288397336117
1327.4,1109.78,1067.5872063573167,42.19279364268323
1328.48,1117.74,1068.1362069144698,49.60379308553024
1329.55,1121.15,1068.684108948025,52.46589105197518
1330.63,1122.36,1069.2309037575133,53.12909624248664
1331.71,1125.07,1069.776582694932,55.29341730506803
1332.79,1117.62,1070.3211371654072,47.29886283459268
1333.86,1125.62,1070.8645586293596,54.755441370640256
1334.94,1123.39,1071.406838594509,51.983161405491046
1336.02,1128.83,1071.947968623331,56.88203137666892
1337.09,1135.19,1072.4879403302846,62.70205966971548
1338.17,1152.34,1073.026745386711,79.31325461328902
1339.24,1138.84,1073.5643755266533,65.27562447334662
1340.32,1143.6,1074.1008225634682,69.49917743653168
1341.39,1144.23,1074.6360783757877,69.59392162421227
1342.47,1151.5,1075.1701349117436,76.32986508825638
1343.54,1165.03,1075.702984189061,89.32701581093897
1344.62,1178.13,1076.234618301795,101.89538169820503
1345.69,1177.92,1076.7650294333291,101.15497056667095
1346.77,1199.95,1077.2942098689423,122.65579013105776
1347.84,1192.12,1077.822151995069,114.29784800493098
1348.92,1213.77,1078.3488483207993,135.42115167920065
1349.99,1222.41,1078.8742914695224,143.53570853047768
1351.06,1248.34,1079.3984742000478,168.94152579995216
1352.14,1256.61,1079.9213894147215,176.6886105852784
1353.21,1281.74,1080.4430301848315,201.2969698151685
1354.28,1324.43,1080.963389758354,243.4666102416461
1355.36,1360.5,1081.4824615845616,279.01753841543837
1356.43,1394.13,1082.0002393561942,312.12976064380587
1357.5,1442.17,1082.5167170450095,359.6532829549906
1358.58,1506.57,1083.0318889348957,423.5381110651042
1359.65,1581.35,1083.5457496693944,497.80425033060556
1360.72,1675.85,1084.0582943155848,591.7917056844151
1361.79,1787.84,1084.569518438351,703.2704815616489
1362.86,1899.14,1085.0794181943686,814.0605818056315
1363.93,2013.06,1085.5879904435844,927.4720095564155
1365.01,2129.55,1086.0952328600063,1043.454767139994
1366.08,2188.01,1086.601144045114,1101.4088559548861
1367.15,2230.46,1087.105723643843,1143.354276356157
1368.22,2206.42,1087.6089724025383,1118.8110275974618
1369.29,2150.45,1088.1108922108997,1062.3391077891001
1370.36,2071.96,1088.611486077438,983.348513922562
1371.43,1951.28,1089.1107580730036,862.1692419269964
1372.5,1851.45,1089.6087132517948,761.8412867482052
1373.57,1734.26,1090.1053575301798,644.1546424698201
1374.64,1625.48,1090.6006975863677,534.8793024136323
1375.71,1538.25,1091.0947407427227,447.1552592572773
1376.78,1459.44,1091.5874948564888,367.8525051435113
1377.85,1404.83,1092.078968232065,312.7510317679348
1378.92,1365.01,1092.5691695417033,272.44083045829666
1379.99,1305.85,1093.0581077704064,212.7918922295935
1381.06,1283.68,1093.5457921756183,190.13420782438175
1382.12,1263.19,1094.0322322275747,169.15776777242536
1383.19,1241.11,1094.5174375866457,146.59256241335424
1384.26,1226.48,1095.0014180823598,131.4785819176402
1385.33,1210.81,1095.484183690838,115.32581630916184
1386.4,1205.28,1095.9657445196808,109.31425548031916
1387.47,1178.07,1096.4461107918141,81.6238892081858
1388.53,1186.58,1096.9252928394787,89.65470716052118
1389.6,1183.68,1097.4033010765395,86.27669892346057
1390.67,1176.72,1097.8801460065167,78.8398539934833
1391.74,1168.98,1098.3558382192068,70.6241617807932
1392.8,1165.27,1098.8303883832461,66.43961161675384
1393.87,1161.09,1099.3038072378959,61.786192762104065
1394.94,1146.25,1099.7761055888564,46.47389441114365
1396.0,1140.84,1100.2472943036148,40.59270569638511
1397.07,1149.41,1100.717384296132,48.692615703868114
1398.13,1151.28,1101.1863865209618,50.09361347903814
1399.2,1159.33,1101.654311981351,57.675688018649
1400.26,1150.84,1102.1211717306392,48.718828269360756
1401.33,1158.24,1102.5869768798425,55.65302312015751
1402.4,1131.65,1103.0517385886965,28.59826141130361
1403.46,1132.7,1103.5154680725898,29.184531927410262
1404.53,1136.99,1103.97817657551,33.0118234244901
1405.59,1141.45,1104.4398753706284,37.0101246293716
1406.66,1129.65,1104.9005757641294,24.74942423587072
1407.72,1133.36,1105.3602890992067,27.99971090079316
1408.78,1144.77,1105.8190267438042,38.950973256195766
1409.85,1146.23,1106.2768000938663,39.953199906133705
1410.91,1134.39,1106.7336205842887,27.6563794157114
1411.98,1136.78,1107.189499689921,29.59050031007905
1413.04,1149.41,1107.6444489132687,41.76555108673142
1414.1,1137.73,1108.0984797864292,29.631520213570866
1415.16,1132.96,1108.551603883265,24.408396116735048
1416.23,1135.36,1109.00383280727,26.3561671927298
1417.29,1122.98,1109.4551781863474,13.52482181365258
1418.35,1132.04,1109.9056516747567,22.13434832524331
1419.42,1128.79,1110.3552649402818,18.43473505971815
1420.48,1133.5,1110.8040296728418,22.695970327158193
1421.54,1144.6,1111.2519575807905,33.34804241920938
1422.6,1137.94,1111.6990603951779,26.240939604822188
1423.66,1139.62,1112.1453498804021,27.474650119597754
1424.73,1138.0,1112.5908378271029,25.40916217289714
1425.79,1141.06,1113.0355360533945,28.024463946605465
1426.85,1137.38,1113.479456402801,23.900543597199203
1427.91,1133.97,1113.922610746871,20.04738925312904
1428.97,1151.65,1114.3650109810542,37.28498901894591
1430.03,1138.89,1114.8066690208477,24.08333097915238
1431.09,1115.88,1115.2475968190342,0.6324031809658663
1432.15,1134.44,1115.68780635248,18.752193647520016
1433.21,1129.0,1116.1273095986837,12.872690401316277
1434.27,1136.59,1116.5661185538966,20.02388144610336
1435.33,1136.86,1117.0042452272428,19.85575477275711
1436.39,1136.11,1117.4417016478708,18.668298352129113
1437.45,1137.69,1117.8784998647845,19.81150013521551
1438.51,1147.96,1118.3146519456573,29.645348054342776
1439.57,1137.66,1118.7501699779737,18.909830022026426
1440.63,1141.74,1119.1850660788639,22.554933921136126
1441.69,1131.28,1119.6193523843688,11.660647615631206
1442.75,1135.11,1120.053041053084,15.056958946915984
1443.8,1138.81,1120.4861442552658,18.323855744734146
1444.86,1139.38,1120.9186741762283,18.46132582377186
1445.92,1134.56,1121.350643019609,13.209356980391021
1446.98,1130.83,1121.782063007507,9.04793699249285
1448.04,1142.53,1122.2129463752317,20.317053624768278
1449.09,1133.06,1122.6433053671392,10.416694632860754
1450.15,1145.43,1123.0731522479039,22.3568477520962
1451.21,1134.93,1123.502499292617,11.42750070738316
1452.27,1139.17,1123.9313587987258,15.238641201274277
1453.32,1135.09,1124.359743075106,10.730256924893865
1454.38,1143.47,1124.7876644458722,18.682335554127803
1455.44,1141.73,1125.2151352458702,16.514864754129803
1456.49,1144.24,1125.642167828628,18.59783217137192
1457.55,1139.79,1126.068774564189,13.721225435810993
1458.6,1146.02,1126.4949678411938,19.525032158806198
1459.66,1137.76,1126.9207600620045,10.839239937995444
1460.72,1140.32,1127.346163648509,12.973836351490945
1461.77,1151.93,1127.7711910334344,24.15880896656563
1462.83,1145.98,1128.1958546624815,17.784145337518567
1463.88,1146.18,1128.6201670055102,17.559832994489852
1464.94,1138.97,1129.0441405501651,9.925859449834888
1465.99,1145.57,1129.467787801651,16.10221219834898
1467.05,1144.26,1129.8911212750984,14.368878724901606
1468.1,1143.65,1130.3141535017405,13.33584649825957
1469.15,1133.47,1130.7368970271796,2.733102972820461
1470.21,1133.78,1131.1593644103539,2.620635589646099
1471.26,1139.86,1131.5815682129348,8.278431787065074
1472.32,1138.96,1132.0035209992145,6.956479000785521
1473.37,1144.14,1132.4252353417637,11.71476465823639
1474.42,1137.85,1132.8467238201097,5.003276179890236
1475.48,1142.32,1133.267999025495,9.052000974504836
1476.53,1144.43,1133.6890735541663,10.740926445833793
1477.58,1126.93,1134.1099600114217,-7.179960011421599
1478.64,1136.08,1134.530671013301,1.549328986699038
1479.69,1138.89,1134.9512184650273,3.9387815349728044
1480.74,1139.08,1135.371614273374,3.70838572662592
1481.79,1131.05,1135.791870349053,-4.741870349052988
1482.84,1140.77,1136.211998606485,4.558001393515042
1483.9,1127.7,1136.6320104906451,-8.932010490645098
1484.95,1125.17,1137.0519174510666,-11.881917451066556
1486.0,1123.38,1137.4717300530135,-14.091730053013407
1487.05,1136.36,1137.8914576854393,-1.5314576854393636
1488.1,1142.18,1138.3111083422157,3.8688916577843884
1489.15,1141.1,1138.7306898656004,2.369310134399484
1490.2,1136.68,1139.1502101017204,-2.4702101017203404
1491.25,1138.05,1139.569676899072,-1.5196768990720102
1492.31,1139.63,1139.9890978616,-0.35909786159982104
1493.35,1138.05,1140.408480442801,-2.35848044280101
1494.41,1131.31,1140.827832060621,-9.517832060621004
1495.46,1129.33,1141.2471598995155,-11.917159899515582
1496.5,1136.57,1141.6664702016767,-5.096470201676766
