RamanShift_cm-1,Intensity_corrected,dI_domega,d2I_domega2,cluster_id,region_label
1336.02,56.88203019728985,5.439278774119826,4.623933618799484,0,Flank region I
1337.09,62.70205848559772,10.38688774623498,-1.9731497176836816,0,Flank region I
1338.17,79.31325342450236,1.0644486645226294,-6.975727509591753,0,Flank region I
1339.24,65.27562327996225,-4.643896261772099,0.37744344997914503,0,Flank region I
1340.32,69.49917623862143,1.9907328510248128,3.600814457279213,0,Flank region I
1341.39,69.593920421848,3.1484666305569746,3.3347316465442556,0,Flank region I
1342.47,76.32986388151016,9.205671176506726,4.052964620554175,0,Flank region I
1343.54,89.32701459988243,11.893307693733348,-1.7101437383906686,0,Flank region I
1344.62,101.89538048290888,5.444028492515834,-1.0395042026644425,0,Flank region I
1345.69,101.15496934720545,9.560189317094533,0.28446136999581695,0,Flank region I
1346.77,122.65578890749362,5.984039143649518,-1.7295937013385325,0,Flank region I
1347.84,114.29784677733915,5.810076179703927,3.4818784397104565,0,Flank region I
1348.92,135.42115044765205,13.543307605808003,4.559006066542135,0,Flank region I
1349.99,143.5357072950435,15.66372622105304,0.9129528304285026,0,Flank region I
1351.06,168.94152456070356,15.497026662924881,-0.25077591346181016,0,Flank region I
1352.14,176.688609342287,15.122649491615775,7.377400841034411,0,Flank region I
1353.21,201.29696856850592,31.204672733224413,9.8395578601035,0,Flank region I
1354.28,243.46660899138328,36.179303312236016,0.375985955050794,0,Flank region I
1355.36,279.01753716164535,31.927179141917904,0.7414370797139647,0,Flank region I
1356.43,312.12975938655154,37.68025445453139,9.26266771171231,0,Flank region I
1357.5,359.65328169434315,51.7492880449814,12.390207616802133,0,Flank region I
1358.58,423.5381098011312,64.30396151196257,12.507657886893789,0,Flank region I
1359.65,497.8042490633736,78.62317505273606,14.816960780228069,0,Flank region I
1360.72,591.7917044139899,96.01225758165145,11.794759695647286,0,Flank region I
1361.79,703.2704802880955,103.86396080141975,4.0910334448337835,0,Flank region I
1362.86,814.0605805290149,104.76706915359523,1.319859828041409,0,Flank region I
1363.93,927.4720082768006,106.68846083342873,-11.095238382086848,1,Peak core
1365.01,1043.4547658574459,80.65328324134038,-27.945520569925062,1,Peak core
1366.08,1101.4088546694709,46.68201364976346,-33.88851744681435,1,Peak core
1367.15,1143.3542750679412,8.131855905153316,-39.50447152217332,1,Peak core
1368.22,1118.8110263065137,-37.8575554076898,-33.37948408533444,1,Peak core
1369.29,1062.33910649549,-63.30024003745814,-26.018581818225304,1,Peak core
1370.36,983.3485126263613,-93.53732049868864,-18.788696283332186,1,Peak core
1371.43,862.169240628278,-103.5080500837866,-3.8965703543546866,2,Flank region II
1372.5,761.841285447043,-101.8759810570105,-1.1910990392011342,2,Flank region II
1373.57,644.1546411662885,-106.05700202767687,4.588875937843838,2,Flank region II
1374.64,534.8793011078058,-92.0557865500204,13.087428392158813,2,Flank region II
1375.71,447.1552579492309,-78.04990526845569,13.668258302795952,2,Flank region II
1376.78,367.8525038333205,-62.805713782038794,15.637855398992453,2,Flank region II
1377.85,312.75103045567585,-44.584894714613824,7.521418453865575,2,Flank region II
1378.92,272.44082914404567,-46.70987829077005,2.861614999476842,2,Flank region II
1379.99,212.79189091342732,-38.46103861573529,12.257421660863395,2,Flank region II
1381.06,190.13420650637704,-20.478995936523944,8.383757557841495,0,Flank region I
1382.12,169.15776645265782,-20.43598431392111,1.3360879363693616,0,Flank region I
1383.19,146.59256109189892,-17.60709619536558,2.7221286410265613,0,Flank region I
1384.26,131.47858059457212,-14.61062902212403,3.387819769796132,0,Flank region I
1385.33,115.32581498455534,-10.357161888002288,-0.531745348170972,0,Flank region I
1386.4,109.31425415424837,-15.748564067212016,0.6001837133714938,0,Flank region I
1387.47,81.62388788072462,-9.072768741389794,8.463688879810839,0,Flank region I
1388.53,89.65470583174329,2.2348085993740767,1.9689628702546305,0,Flank region I
1389.6,86.27669759343962,-5.053669705349563,-4.462186118348985,0,Flank region I
1390.67,78.83985266229388,-7.314269693892129,-0.3507131377682131,0,Flank region I
1391.74,70.62416044850988,-5.804195820174375,1.4875069673416603,0,Flank region I
1392.8,66.43961028345052,-4.147397189276468,-1.6251243982243522,0,Flank region I
1393.87,61.78619142785442,-9.329774395993663,-4.749141129926153,0,Flank region I
1394.94,46.473893076020886,-14.31055920731887,-4.654939076004153,0,Flank region I
