y_px,x_px
162,203
120,120
124,180
107,125
208,142
178,139
171,160
219,170
190,172
152,112
165,137
165,177
127,148
235,205
195,127
138,113
193,141
80,163
213,121
173,92
151,185
97,212
175,194
184,112
141,231
116,142
157,98
225,150
234,152
110,180
186,244
151,162
80,218
136,134
230,116
127,101
179,209
74,179
209,199
216,187
200,104
147,76
152,124
196,205
104,196
148,145
119,194
109,103
131,206
134,192
223,137
126,223
87,147
95,161
191,71
98,90
202,228
189,225
133,63
61,113
182,72
127,81
113,157
195,155
90,128
63,166
141,94
245,131
168,109
194,86
247,171
92,185
71,127
168,245
205,88
232,225
182,55
220,85
239,187
110,233
106,49
198,52
171,229
197,260
118,65
57,181
93,110
227,99
219,238
256,162
53,151
139,45
154,241
74,195
86,74
110,81
149,60
61,235
118,259
