,5,10,20,30,40,50
5,1.0,0.032313210277657996,3.424924946645186e-10,9.685625480182395e-45,8.865650030667371e-69,0.0
10,0.032313210277657996,1.0,0.0008200183970037979,1.2485067649614834e-12,1.4441623609533477e-26,8.005387643594339e-80
20,3.424924946645186e-10,0.0008200183970037979,1.0,0.003524046638456168,4.1231376524991656e-10,3.1335190200900163e-43
30,9.685625480182395e-45,1.2485067649614834e-12,0.003524046638456168,1.0,0.005295123708641281,1.6899651616100622e-11
40,8.865650030667371e-69,1.4441623609533477e-26,4.1231376524991656e-10,0.005295123708641281,1.0,0.013993512833536195
50,0.0,8.005387643594339e-80,3.1335190200900163e-43,1.6899651616100622e-11,0.013993512833536195,1.0
