Potential_V,b_smooth,chi_loc_clipped,b_tilde,chi_tilde,local_field_h,label_numeric,label_text
0.0544705861014778,-0.2568693059737035,0.0,-2.5547680412440523,-0.7120971537185226,-3.266865194962575,-1,DD
0.0553897870842177,-0.1550048000368699,0.0,-2.274232071414954,-0.7120971537185226,-2.9863292251334768,-1,DD
0.0563089880669575,-0.0625338606852891,0.0,-2.0195660872880605,-0.7120971537185226,-2.731663241006583,-1,DD
0.0572281890496973,0.0210265081498851,0.0,-1.7894399123769587,-0.7120971537185226,-2.501537066095481,-1,DD
0.0581473900324372,0.0961593025374993,0.0,-1.5825233701952317,-0.7120971537185226,-2.2946205239137543,-1,DD
0.059066591015177,0.1633475185464,0.0,-1.3974862842564646,-0.7120971537185226,-2.109583437974987,-1,DD
0.0599857919979168,0.2230741522454334,0.0,-1.232998478074243,-0.7120971537185226,-1.9450956317927655,-1,DD
0.0609049929806567,0.2758221997034462,0.0,-1.0877297751621506,-0.7120971537185226,-1.7998269288806732,-1,DD
0.0618241939633965,0.3220746569892845,0.0,-0.9603499990337734,-0.7120971537185226,-1.672447152752296,-1,DD
0.0627433949461363,0.3623145201717948,0.0,-0.8495289732026962,-0.7120971537185226,-1.5616261269212188,-1,DD
0.0636625959288762,0.3970247853198235,0.0,-0.7539365211825035,-0.7120971537185226,-1.466033674901026,-1,DD
0.064581796911616,0.4266884485022173,0.0,-0.6722424664867795,-0.7120971537185226,-1.384339620205302,-1,DD
0.0655009978943558,0.4517885057878221,0.0,-0.6031166326291109,-0.7120971537185226,-1.3152137863476334,-1,DD
0.0664201988770957,0.4728079532454847,0.0,-0.545228843123081,-0.7120971537185226,-1.2573259968416035,-1,DD
0.0673393998598355,0.4902297869440515,0.0,-0.4972489214822748,-0.7120971537185226,-1.2093460752007974,-1,DD
0.0682586008425753,0.5045370029523515,0.0,-0.4578466912203253,-0.7120971537185226,-1.1699438449388477,-1,DD
0.0691778018253151,0.5118229563565955,0.0,-0.4377810954017319,-0.7120971537185226,-1.1498782491202544,-1,DD
0.070097002808055,0.5226034896007138,0.0,-0.4080913882647929,-0.7120971537185226,-1.1201885419833155,-1,DD
0.0710162037907948,0.5346154855276987,0.005749297957088099,-0.37501021935351875,-0.7002454293431412,-1.0752556486966598,-1,DD
0.0719354047735346,0.5464144391459408,0.039525334334191,-0.3425157713039237,-0.6306187937744008,-0.9731345650783245,-1,DD
0.0728546057562745,0.5572453031751238,0.06710541662948703,-0.31268745263129305,-0.5737646289609045,-0.8864520815921976,-1,DD
0.0737738067390143,0.5677577737824995,0.08938570182471307,-0.283735992944552,-0.5278355779516142,-0.8115715708961662,-1,DD
