component,eigenvalue,variance_ratio
1,1.0257361198400978,0.20591523167201606
2,1.005971608545101,0.20194753097056478
3,0.9968623341121022,0.20011885562321782
4,0.9851029458943877,0.19775817327779224
5,0.9676783540655626,0.19426020845640896
6,0.0,0.0
