Component,Center (eV),Approx. FWHM (eV),Relative area fraction
C-C / C-H,284.58781214074673,1.5,0.7161318828590142
C-N / C-O,285.5001898640998,0.9500000000000455,0.09670519806074289
C=O-related,286.3465334066802,1.4499999999999886,0.092283735620968
O-C=O,288.4344251172039,5.649999999999977,0.0948791834592749
