Component,Center (eV),Approx. FWHM (eV),Relative area fraction
Lower-BE lattice / B-O-related O,530.3654207974578,0.40000000000009095,0.004102090217958249
Surface hydroxyl / adsorbed O,532.5999999997903,1.9500000000000455,0.7565053593449904
Higher-BE adsorbed H2O / O species,533.3388337293892,2.5499999999999545,0.23939255043705138
