Component,Center (eV),Approx. FWHM (eV),Relative area fraction
lattice / B–O-related O,530.37,0.4,0.0041
surface hydroxyl / adsorbed O,532.6,1.95,0.7565
adsorbed H2O / weak oxygen species,533.34,2.55,0.2394
