Region,Label,Center_eV,FWHM_eV,Area_fraction,Eta
C1s,C–C,284.59,,0.7161,0.23863800617464642
C1s,C–O,285.5,,0.0967,0.33715180130206995
C1s,C=O,286.35,,0.0923,0.7200797557304432
C1s,O–C=O,288.43,,0.0949,0.9999999999999999
