Region,Label,Center_eV,FWHM_eV,Area_fraction,Eta
N1s,N-def,397.7,,0.1785,0.07046775433165521
N1s,N–B,398.0,,0.6855,0.004463002837617341
N1s,N-ox,398.85,,0.136,0.9874403821543486
