Region,Label,Center_eV,FWHM_eV,Area_fraction,Eta
B1s,B-def,189.87,,0.2315,0.47369318724245396
B1s,B–N,190.37,,0.5727,1.1058937174293946e-18
B1s,B-ox,191.09,,0.1958,0.8930962784524898
