Component,Center (eV),Approx. FWHM (eV),Relative area fraction
"lower-BE defect-related B environment, possibly B-rich / under-coordinated B",189.87,1.3,0.2315
main lattice B–N component of h-BN,190.37,1.1,0.5727
"high-BE defect / oxidized boron shoulder, such as B–ox-related surface species",191.09,1.3,0.1958
