Frequency_Hz,Zprime_data_Ohm,minus_Zdoubleprime_data_Ohm,Zmag_data_Ohm,Phase_data_deg,Zprime_fit_Ohm,minus_Zdoubleprime_fit_Ohm,Zmag_fit_Ohm,Phase_fit_deg
1000000.0,1.08878343132709,-1.14689567983484,1.5813978186263606,46.48896010862785,1.3294785606815098,-1.1480052594410195,1.7565390172199484,40.81062129411731
891250.9375,1.08145738163018,-1.02528577886776,1.4902217944423153,43.472697813225096,1.3294895139608363,-1.0230320211593884,1.6775389366716005,37.578007052251884
794328.1875,1.06171532829536,-0.915812933627097,1.4021243766998681,40.78035246061568,1.3295016472861,-0.9116355233074149,1.6120341055611813,34.4383224649612
707945.6875,1.05379167337564,-0.819657456199681,1.3350337959690621,37.87639665676475,1.3295150878619968,-0.8123378437409756,1.5580446531554961,31.425059666917118
630957.25,1.04971820027126,-0.730865207430492,1.2790904000160228,34.8475251719969,1.3295299766080142,-0.7238216391023338,1.5137924969863261,28.564720856491483
562341.25,1.04508592466486,-0.650921643737488,1.2312203605441712,31.916314541995465,1.3295464696608086,-0.6449125479425439,1.477702950352764,25.876263750383604
501187.15625,1.04176629574331,-0.580047687747201,1.1923641788512485,29.10873348830715,1.3295647400094763,-0.5745637107742385,1.4484011376739279,23.371307484706154
446683.53125,1.03852455457484,-0.516107658311024,1.1596983941621022,26.42564888645156,1.3295849792863537,-0.5118419761956622,1.4247029254338512,21.054895086303777
398107.0625,1.03700731667876,-0.461135691031633,1.1349142260049891,23.97372479736092,1.3296073998537898,-0.45591528974626,1.4056011486799418,18.926568341863256
354813.3125,1.03577893890495,-0.409102511024865,1.1136439623173622,21.552576257908285,1.3296322368839775,-0.40604205693337947,1.3902489120153192,16.98158235077905
316227.6875,1.03303496728196,-0.363745192942798,1.0952040033784727,19.397836438046212,1.329659751064301,-0.36156075381102315,1.3779409393354904,15.212045651673545
281838.15625,1.03244319997973,-0.323123671710779,1.0818261729151502,17.378550677832663,1.3296902311991279,-0.3218815481857819,1.3680949681980656,13.607963095937956
251188.5,1.03133794269894,-0.287027610933401,1.0705338861935283,15.552207885940945,1.329723997136135,-0.28647852907723237,1.3602337505671422,12.158089213712394
223871.96875,1.03224094053501,-0.252235408863076,1.0626119050720848,13.73154623545771,1.329761403396668,-0.25488239861794015,1.3539683995901493,10.850581035586053
199526.171875,1.03063308578915,-0.224592403103463,1.054820508453952,12.293527958640771,1.3298028425846755,-0.2266745830228975,1.3489836791951515,9.67350800222004
177827.84375,1.03068080198261,-0.196392924405179,1.0492249979541728,10.788201576239338,1.329848750260842,-0.20148119131090791,1.3450250440130795,8.615183055211672
158489.21875,1.03036592716177,-0.173284828908458,1.0448356692732919,9.546551361687857,1.329899608338123,-0.17896883122763377,1.3418877787687309,7.66442964381161
141253.6875,1.03170504099489,-0.152090304820742,1.0428550965665047,8.385942381316625,1.329955951032617,-0.15883958450594557,1.3394076471683645,6.8107013593061705
125892.4609375,1.03217227446032,-0.132992947122268,1.0407049188645436,7.341973717354199,1.3300183706408233,-0.14082714066846766,1.3374532327490658,6.044163141589947
112201.7421875,1.03153796944363,-0.114575288416921,1.037881534241605,6.337994791729029,1.3300875230801723,-0.12469351545555789,1.3359196427368727,5.3557315339113325
99999.921875,1.03123150397039,-0.101373964228866,1.0362022463807479,5.614353571744242,1.3301641348951436,-0.11022578747651424,1.3347233233843498,4.73706648075551
89125.0546875,1.03419910692767,-0.0859661585726613,1.0377658566313164,4.751696832427471,1.330249011648054,-0.09723314966990207,1.3337978551434824,4.180540043525424
79432.78125,1.0338019956824,-0.0744219304734402,1.0364772983583896,4.117538363331335,1.3303430464171626,-0.08554447155942824,1.3330905737289116,3.679200279899067
70794.484375,1.03517916706387,-0.062645231713447,1.037072964154152,3.463106178956374,1.3304472286987112,-0.07500612827980176,1.3325598476734943,3.2267272029206753
63095.70703125,1.03622640157005,-0.0503224366700166,1.0374475904561264,2.780280276809554,1.3305626523259297,-0.06548013600060426,1.3321728941752535,2.8173878919003967
56234.09375,1.03608414482385,-0.0419656331520279,1.036933686173431,2.3194448725117978,1.3306905348311175,-0.056841672202606136,1.3319040037434808,2.4459550629033386
50118.66015625,1.03729095909515,-0.0323592779499908,1.0377955755783415,1.786816845645694,1.3308322218035344,-0.04897821020046667,1.3317331818592542,2.1076877712520488
44668.28125,1.03787782978968,-0.023039457059407,1.0381335203867217,1.271678462394065,1.3309892048527012,-0.041787675789733345,1.3316450252534773,1.7982649571447475
39810.6875,1.04035731967983,-0.0164938003935381,1.040488057626238,0.9082898421901794,1.3311631354105717,-0.03517721179354243,1.331627849403005,1.5137414426839688
35481.33984375,1.0422268963587,-0.009432233113733,1.0422695767002894,0.5185170302672801,1.331355848642818,-0.029061743618661384,1.3316730006490314,1.2504927671367616
31622.779296875,1.04233141619277,-0.0023888813410274,1.0423341536841662,0.13131387658957253,1.3315693771322843,-0.023363150610791417,1.3317743213183388,1.0051842675542029
28183.77734375,1.04475657691743,0.0043887653080309,1.0447657949383464,-0.24068405587726105,1.3318059759685732,-0.018009141065752004,1.3319277333202166,0.7747261303809522
25118.794921875,1.04773723581227,0.0110533378309699,1.0477955390173896,-0.6044321916682122,1.3320681356407738,-0.012932554215235962,1.3321309128415333,0.5562459422006175
22387.177734375,1.04802655195488,0.0180221159602496,1.0481814968153746,-0.9851748658515571,1.3323586197212054,-0.008070212478753145,1.3323830604878042,0.3470412945350429
19952.607421875,1.05014007533009,0.0237733639040577,1.0504091348829758,-1.296856323699772,1.3326805023661332,-0.0033620688674217258,1.3326847432509756,0.14454473336150642
17782.765625,1.05169238794806,0.0297656502890331,1.0521135265763966,-1.6211879047546691,1.3330371886326813,0.0012492986374252335,1.3330377740427344,-0.05369656520459987
15848.921875,1.05415042324476,0.0364111180618588,1.0547790689739827,-1.9782511901006608,1.3334324395722839,0.005819307901871917,1.3334451376971417,-0.2500461634389786
14125.369140625,1.05516824410962,0.0430166525885277,1.0560447224323886,-2.334517354014729,1.3338704454750132,0.01040245385650717,1.3339110076605363,-0.4468234691262045
