Frequency_Hz,Residual_ReZ_data_minus_fit_Ohm,Residual_ImZ_data_minus_fit_Ohm,Residual_ReZ_over_absZ,Residual_ImZ_over_absZ
0.299999684095383,-0.24184902060278546,-4.602660889938164,-0.0009359023179797938,-0.017811281538505665
0.316226333379745,-0.12618188526862895,-3.3129023084952394,-0.0005127485421585486,-0.013462200421069057
0.354811638593674,0.2888234291769791,-1.323019587782312,0.0013018020689591638,-0.0059631922574852935
0.39810574054718,0.7851378830044808,0.4563491237369419,0.003921456939739902,0.0022792855585752453
0.446681261062622,1.0442889140055698,1.0649708860598537,0.005746385982840274,0.00586019222239363
0.501185595989227,1.2123358473750372,1.7620609422986604,0.007346850632324553,0.010678227964760147
0.562339127063751,1.490748536613978,2.3329280812037894,0.009929077752285385,0.015538384737492809
0.63095486164093,1.6106847700621998,2.1644523786829097,0.011721888506671189,0.015751977005370545
0.707943558692932,1.6667861592646531,2.0787844013014194,0.013238783640480508,0.016511162377408226
0.794324278831482,1.654570117825017,1.8769500844375386,0.014306914493952829,0.016229813459199285
0.891247987747192,1.5229148534919403,1.5952427812058545,0.014306442112501365,0.014985899213194601
0.999995112419128,1.3497763220123318,1.3445242430346696,0.013758886204984123,0.013705349366461492
1.12201523780823,1.0963611324240858,1.0913052010792512,0.012113757306953346,0.012057894030282339
1.25891971588135,0.8383323872486486,0.8818841127073256,0.010034584908335467,0.010555885878770226
1.41253340244293,0.5791784355890996,0.6702401826841395,0.00750492849342578,0.008684896286493868
1.58488547801971,0.22809762795586153,0.5053038234646721,0.00320202961920364,0.0070934442586304365
1.77827250957489,-0.054404421668948544,0.46811453306651885,-0.0008286305993174878,0.007129825374203489
1.99525511264801,-0.32772298585548043,0.4741978093952497,-0.005422604940087384,0.007846222251066726
2.23871541023254,-0.5676660421659996,0.5407776621593499,-0.010223002202460422,0.009738773892837154
2.51187658309937,-0.7541253737582316,0.6347128636445234,-0.014805339693541638,0.012460977817635948
2.81837058067322,-0.8593495318017759,0.7431739742644297,-0.01841924511673579,0.015929145347475172
3.16226768493652,-0.9151305309359454,0.8549399375298137,-0.021450290628638943,0.02003944739040571
3.54812073707581,-0.9220766777408542,0.9920957984271013,-0.023690029728873237,0.02548896369032079
3.98106288909912,-0.8829916734405963,1.0861930993323128,-0.02488437288413474,0.03061097281092049
4.46682405471802,-0.8123190112720575,1.1753840586601996,-0.02515328448357174,0.03639551604072147
5.01185035705566,-0.7145374150168315,1.242496223505814,-0.024337089665425457,0.04231932627307026
5.62339448928833,-0.5884644977602225,1.2871891560420075,-0.022064093541549406,0.048262320076530946
6.30955123901367,-0.462498869966371,1.3086410484461517,-0.01910469918348654,0.0540567668231147
7.07943868637085,-0.3238778216499325,1.2992760884749046,-0.014738018675303343,0.05912339152699193
7.94325399398804,-0.19650210926152667,1.2680761414301607,-0.009852005802749562,0.0635774015385811
8.91247940063477,-0.05844272968077657,1.2240785239951855,-0.003227728393908642,0.06760452548766954
