1200.09	977
1201.19	994.131
1202.29	997.289
1203.39	996.179
1204.49	997.184
1205.58	993.792
1206.68	997.12
1207.78	1008.05
1208.87	1000.62
1209.97	995.119
1211.07	986.976
1212.17	1011.3
1213.26	1006.47
1214.36	1002.01
1215.46	1007.04
1216.55	1006.98
1217.65	1011.57
1218.74	1006.07
1219.84	1010.21
1220.93	1006.08
1222.03	1014.62
1223.12	1013.38
1224.22	1005.36
1225.31	1010.35
1226.41	1019.1
1227.5	1006.36
1228.6	1024.3
1229.69	1014.57
1230.78	1018.78
1231.88	1021.57
1232.97	1019.81
1234.06	1022.06
1235.16	1024.62
1236.25	1027.61
1237.34	1016.56
1238.43	1028.73
1239.53	1040.57
1240.62	1022.78
1241.71	1021.91
1242.8	1026.27
1243.89	1033.34
1244.99	1027.89
1246.08	1025.31
1247.17	1036.12
1248.26	1038.82
1249.35	1034.85
1250.44	1033.37
1251.53	1027.49
1252.62	1040.13
1253.71	1043.48
1254.8	1051
1255.89	1040.48
1256.98	1039.7
1258.07	1047.72
1259.16	1048.14
1260.24	1043.23
1261.33	1045.19
1262.42	1048.66
1263.51	1043.68
1264.6	1041.96
1265.69	1047.64
1266.77	1053.02
1267.86	1051.22
1268.95	1055.24
1270.04	1055.19
1271.12	1059.08
1272.21	1058.31
1273.3	1049.23
1274.38	1058.79
1275.47	1060.75
1276.56	1062.39
1277.64	1067.39
1278.73	1053.15
1279.81	1063.44
1280.9	1063.4
1281.98	1057.74
1283.07	1065.76
1284.15	1062.45
1285.24	1066.44
1286.32	1077.03
1287.41	1076.97
1288.49	1063.14
1289.57	1066.76
1290.66	1076.57
1291.74	1068.69
1292.83	1068.57
1293.91	1072.82
1294.99	1085.59
1296.07	1079.08
1297.16	1080.77
1298.24	1074.65
1299.32	1081.8
1300.4	1086.31
1301.49	1086.21
1302.57	1081.05
1303.65	1087.06
1304.73	1085.26
1305.81	1079.88
1306.89	1082.82
1307.97	1093.47
1309.05	1093.47
1310.13	1097.34
1311.22	1088.12
1312.3	1085.2
1313.38	1094.64
1314.46	1097.79
1315.53	1104.99
1316.61	1110.04
1317.69	1097.11
1318.77	1109.04
1319.85	1104.64
1320.93	1112.89
1322.01	1107.14
1323.09	1106.08
1324.17	1105.99
1325.24	1121.51
1326.32	1113.74
1327.4	1109.78
1328.48	1117.74
1329.55	1121.15
1330.63	1122.36
1331.71	1125.07
1332.79	1117.62
1333.86	1125.62
1334.94	1123.39
1336.02	1128.83
1337.09	1135.19
1338.17	1152.34
1339.24	1138.84
1340.32	1143.6
1341.39	1144.23
1342.47	1151.5
1343.54	1165.03
1344.62	1178.13
1345.69	1177.92
1346.77	1199.95
1347.84	1192.12
1348.92	1213.77
1349.99	1222.41
1351.06	1248.34
1352.14	1256.61
1353.21	1281.74
1354.28	1324.43
1355.36	1360.5
1356.43	1394.13
1357.5	1442.17
1358.58	1506.57
1359.65	1581.35
1360.72	1675.85
1361.79	1787.84
1362.86	1899.14
1363.93	2013.06
1365.01	2129.55
1366.08	2188.01
1367.15	2230.46
1368.22	2206.42
1369.29	2150.45
1370.36	2071.96
1371.43	1951.28
1372.5	1851.45
1373.57	1734.26
1374.64	1625.48
1375.71	1538.25
1376.78	1459.44
1377.85	1404.83
1378.92	1365.01
1379.99	1305.85
1381.06	1283.68
1382.12	1263.19
1383.19	1241.11
1384.26	1226.48
1385.33	1210.81
1386.4	1205.28
1387.47	1178.07
1388.53	1186.58
1389.6	1183.68
1390.67	1176.72
1391.74	1168.98
1392.8	1165.27
1393.87	1161.09
1394.94	1146.25
1396	1140.84
1397.07	1149.41
1398.13	1151.28
1399.2	1159.33
1400.26	1150.84
1401.33	1158.24
1402.4	1131.65
1403.46	1132.7
1404.53	1136.99
1405.59	1141.45
1406.66	1129.65
1407.72	1133.36
1408.78	1144.77
1409.85	1146.23
1410.91	1134.39
1411.98	1136.78
1413.04	1149.41
1414.1	1137.73
1415.16	1132.96
1416.23	1135.36
1417.29	1122.98
1418.35	1132.04
1419.42	1128.79
1420.48	1133.5
1421.54	1144.6
1422.6	1137.94
1423.66	1139.62
1424.73	1138
1425.79	1141.06
1426.85	1137.38
1427.91	1133.97
1428.97	1151.65
1430.03	1138.89
1431.09	1115.88
1432.15	1134.44
1433.21	1129
1434.27	1136.59
1435.33	1136.86
1436.39	1136.11
1437.45	1137.69
1438.51	1147.96
1439.57	1137.66
1440.63	1141.74
1441.69	1131.28
1442.75	1135.11
1443.8	1138.81
1444.86	1139.38
1445.92	1134.56
1446.98	1130.83
1448.04	1142.53
1449.09	1133.06
1450.15	1145.43
1451.21	1134.93
1452.27	1139.17
1453.32	1135.09
1454.38	1143.47
1455.44	1141.73
1456.49	1144.24
1457.55	1139.79
1458.6	1146.02
1459.66	1137.76
1460.72	1140.32
1461.77	1151.93
1462.83	1145.98
1463.88	1146.18
1464.94	1138.97
1465.99	1145.57
1467.05	1144.26
1468.1	1143.65
1469.15	1133.47
1470.21	1133.78
1471.26	1139.86
1472.32	1138.96
1473.37	1144.14
1474.42	1137.85
1475.48	1142.32
1476.53	1144.43
1477.58	1126.93
1478.64	1136.08
1479.69	1138.89
1480.74	1139.08
1481.79	1131.05
1482.84	1140.77
1483.9	1127.7
1484.95	1125.17
1486	1123.38
1487.05	1136.36
1488.1	1142.18
1489.15	1141.1
1490.2	1136.68
1491.25	1138.05
1492.31	1139.63
1493.35	1138.05
1494.41	1131.31
1495.46	1129.33
1496.5	1136.57
1497.55	1133.06
1498.6	1133.84
1499.65	1129.18
1499.92	1128.74
