y_px,x_px
147,141
145,160
171,174
152,124
165,139
158,81
193,154
156,178
135,199
120,129
97,99
180,136
162,210
183,190
189,98
98,149
159,105
141,108
169,194
199,138
131,144
175,104
177,156
116,149
169,120
163,159
102,80
125,111
219,168
154,197
139,127
211,130
189,174
186,121
104,132
128,162
201,117
154,55
114,165
95,167
212,153
109,113
107,180
116,220
180,87
72,139
139,179
132,73
102,201
118,199
159,228
114,95
204,221
142,234
204,170
227,200
201,189
195,206
130,92
107,59
168,243
91,185
65,100
239,144
145,89
89,134
210,204
173,54
93,115
229,129
110,236
85,229
196,84
118,77
235,165
132,218
239,218
84,77
64,178
223,221
75,192
190,226
147,69
229,181
61,121
222,96
200,239
146,213
224,148
80,101
90,64
70,162
121,181
126,236
138,54
56,140
199,65
247,179
210,102
234,113
237,91
75,116
52,159
217,187
214,258
176,226
44,200
72,210
235,236
88,213
258,195
223,71
182,262
241,195
