z_x,z_y,surrogate_SSE,x_label,y_label,pair_key
0.5240882041184607,0.7524086100485816,233.01973708847265,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5250944934266367,0.7524086100485816,233.28962064179206,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5261007827348129,0.7524086100485816,233.56955139983907,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.527107072042989,0.7524086100485816,233.8595293626137,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.528113361351165,0.7524086100485816,234.1595545301159,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5291196506593412,0.7524086100485816,234.46962690234574,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5301259399675172,0.7524086100485816,234.78974647930312,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5311322292756934,0.7524086100485816,235.11991326098814,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5321385185838695,0.7524086100485816,235.46012724740075,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5331448078920455,0.7524086100485816,235.8103884385409,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5341510972002217,0.7524086100485816,236.17069683440872,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5351573865083977,0.7524086100485816,236.54105243500408,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5361636758165739,0.7524086100485816,236.92145524032708,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.53716996512475,0.7524086100485816,237.3119052503777,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.538176254432926,0.7524086100485816,237.71240246515583,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5391825437411022,0.7524086100485816,238.12294688466162,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5401888330492782,0.7524086100485816,238.54353850889495,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5411951223574544,0.7524086100485816,238.97417733785596,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5422014116656305,0.7524086100485816,239.41486337154453,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5432077009738066,0.7524086100485816,239.86559660996065,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5442139902819827,0.7524086100485816,240.3263770531044,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5452202795901587,0.7524086100485816,240.79720470097573,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5462265688983349,0.7524086100485816,241.2780795535747,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.547232858206511,0.7524086100485816,241.76900161090126,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.548239147514687,0.7524086100485816,242.26997087295535,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5492454368228632,0.7524086100485816,242.78098733973712,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5502517261310392,0.7524086100485816,243.30205101124642,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5512580154392154,0.7524086100485816,243.83316188748336,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5522643047473915,0.7524086100485816,244.3743199684479,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5532705940555676,0.7524086100485816,244.92552525413998,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5542768833637437,0.7524086100485816,245.48677774455973,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5552831726719197,0.7524086100485816,246.058077439707,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5562894619800959,0.7524086100485816,246.63942433958192,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.557295751288272,0.7524086100485816,247.23081844418442,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5583020405964481,0.7524086100485816,247.8322597535145,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5593083299046242,0.7524086100485816,248.44374826757223,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5603146192128002,0.7524086100485816,249.06528398635749,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5613209085209764,0.7524086100485816,249.69686690987038,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5623271978291525,0.7524086100485816,250.3384970381109,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5633334871373286,0.7524086100485816,250.99017437107892,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5643397764455047,0.7524086100485816,251.65189890877463,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5653460657536807,0.7524086100485816,252.32367065119786,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5663523550618569,0.7524086100485816,253.00548959834876,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.567358644370033,0.7524086100485816,253.69735575022727,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5683649336782091,0.7524086100485816,254.39926910683326,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5693712229863852,0.7524086100485816,255.11122966816697,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5703775122945614,0.7524086100485816,255.83323743422824,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5713838016027374,0.7524086100485816,256.56529240501703,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5723900909109135,0.7524086100485816,257.3073945805335,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5733963802190896,0.7524086100485816,258.0595439607775,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5744026695272657,0.7524086100485816,258.82174054574915,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5754089588354419,0.7524086100485816,259.59398433544845,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5764152481436179,0.7524086100485816,260.3762753298752,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.577421537451794,0.7524086100485816,261.16861352902964,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5784278267599701,0.7524086100485816,261.97099893291164,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
0.5794341160681462,0.7524086100485816,262.7834315415213,Normalized $z_{R_s}$,Normalized $z_{\alpha_1}$,Rs_alpha1
