gamma,beta,expected_energy
0.0,0.0,425.14115764870155
0.07853981633974483,0.0,425.14115764870155
0.15707963267948966,0.0,425.14115764870155
0.23561944901923448,0.0,425.14115764870155
0.3141592653589793,0.0,425.14115764870155
0.39269908169872414,0.0,425.14115764870155
0.47123889803846897,0.0,425.14115764870155
0.5497787143782138,0.0,425.14115764870155
0.6283185307179586,0.0,425.14115764870155
0.7068583470577035,0.0,425.14115764870155
0.7853981633974483,0.0,425.14115764870155
0.8639379797371931,0.0,425.14115764870155
0.9424777960769379,0.0,425.14115764870155
1.0210176124166828,0.0,425.1411576487015
1.0995574287564276,0.0,425.14115764870155
1.1780972450961724,0.0,425.14115764870155
1.2566370614359172,0.0,425.14115764870155
1.335176877775662,0.0,425.14115764870155
1.413716694115407,0.0,425.14115764870155
1.4922565104551517,0.0,425.14115764870155
1.5707963267948966,0.0,425.14115764870155
1.6493361431346414,0.0,425.14115764870155
1.7278759594743862,0.0,425.14115764870155
1.806415775814131,0.0,425.14115764870155
1.8849555921538759,0.0,425.14115764870155
1.9634954084936207,0.0,425.14115764870155
2.0420352248333655,0.0,425.14115764870155
2.1205750411731104,0.0,425.14115764870155
2.199114857512855,0.0,425.14115764870155
2.2776546738526,0.0,425.14115764870155
2.356194490192345,0.0,425.14115764870155
2.4347343065320897,0.0,425.14115764870155
2.5132741228718345,0.0,425.14115764870155
2.5918139392115793,0.0,425.14115764870155
2.670353755551324,0.0,425.14115764870155
2.748893571891069,0.0,425.14115764870155
2.827433388230814,0.0,425.14115764870155
2.9059732045705586,0.0,425.14115764870155
2.9845130209103035,0.0,425.14115764870155
3.0630528372500483,0.0,425.14115764870155
3.141592653589793,0.0,425.14115764870155
0.0,0.039269908169872414,425.1411576487013
0.07853981633974483,0.039269908169872414,423.5917355393802
0.15707963267948966,0.039269908169872414,420.3036966993637
0.23561944901923448,0.039269908169872414,428.8855759242241
0.3141592653589793,0.039269908169872414,427.07454955648814
0.39269908169872414,0.039269908169872414,425.5451660560625
0.47123889803846897,0.039269908169872414,430.36441667844997
0.5497787143782138,0.039269908169872414,421.12896342311774
0.6283185307179586,0.039269908169872414,426.62699339526483
0.7068583470577035,0.039269908169872414,423.1665895842146
0.7853981633974483,0.039269908169872414,421.74936195446867
0.8639379797371931,0.039269908169872414,425.0861777103156
0.9424777960769379,0.039269908169872414,425.27077681027015
1.0210176124166828,0.039269908169872414,422.87965368010407
1.0995574287564276,0.039269908169872414,426.51893524725017
1.1780972450961724,0.039269908169872414,421.7388483436107
1.2566370614359172,0.039269908169872414,424.5836190333897
1.335176877775662,0.039269908169872414,421.82908239898165
1.413716694115407,0.039269908169872414,423.0648245437617
1.4922565104551517,0.039269908169872414,424.92101085127564
1.5707963267948966,0.039269908169872414,421.0252714050034
1.6493361431346414,0.039269908169872414,431.9619084901747
1.7278759594743862,0.039269908169872414,422.42947805557253
1.806415775814131,0.039269908169872414,426.53590885720524
1.8849555921538759,0.039269908169872414,424.5329719498792
1.9634954084936207,0.039269908169872414,427.2803216564254
2.0420352248333655,0.039269908169872414,420.10308536141713
2.1205750411731104,0.039269908169872414,428.5922188727323
