surrogate_SSE,true_SSE
19386.76575205925,16178.138651407226
11626.013460951277,13720.852255359297
28884.489110724448,18707.804305677844
5834.731165915833,5863.588562883138
13766.532257705283,16591.217222003295
8925.895089669975,9561.989089225535
254.94656874172549,295.01882506101
13678.75789276249,15952.54303407988
2419.075222081666,1868.4468433235813
39055.61596037776,29367.063607361728
26781.466847089323,18875.032227937907
892.5104726620182,847.4046312050195
25034.133904545342,31805.93290856662
47273.561801287295,67536.38393576368
830.3611151998032,782.2237125068323
18741.04788358477,14558.008510476535
21425.87001453056,29174.816056628446
5571.661609823085,4926.584753594313
1252.5656594665718,1243.6263023231315
4780.9321329318145,4507.323905105246
23848.92054289046,18932.163932488646
4879.612370264007,3844.518642267493
42419.18049410823,62322.11592432912
6582.267606538216,5782.60850828585
30207.257177702384,39947.68940013826
33519.6162674981,23335.68283430688
61107.880228265065,89336.98424534897
17718.038635889516,21588.961417561713
3054.1930574044927,2418.2269319584393
18895.150809435025,15813.266399695165
6242.842538527071,6452.047502314575
1076.9128226750072,1115.02405427483
11977.06991906345,9726.101622408012
5560.719739152979,6206.296857856319
4394.6340376456965,4246.829544486318
4397.571509195514,4588.063864549519
16008.994185187765,13488.737205587497
43504.46034279571,59877.28398792408
18568.36919950592,23153.150563235515
17844.16618344993,14053.07769698086
17239.663168509403,23342.056740724598
15920.876284918591,12821.412620978626
4748.776622369495,5441.491416302639
5992.559319558846,6410.299501218883
7534.705589760421,6730.263859401535
39007.075414319326,29198.2821388061
34118.85365678482,25790.744829766605
25811.6976472408,20247.038766059388
4341.2569616837445,4711.044991564844
23724.98957732552,28636.544038585314
12836.138745847697,16367.57703529837
10231.680032374425,11617.818119532198
27887.986100920712,36316.13416809119
23380.720696594133,29388.373103819387
33703.24267676879,51001.534048370035
10431.48938120661,8516.519883845922
13464.406312299689,16653.856608328635
26861.93471373939,33672.441023957246
14624.576070725932,12391.092393628101
2887.3538549303967,2592.4543814037966
47310.989426276356,34403.57854925184
1061.3123589982429,1094.6849864009046
31693.76280810128,42394.84026828012
11312.222501169814,8980.2258129902
7576.772325994949,6707.624652380009
1771.2318392806794,1682.8441900826895
10914.53666492419,8588.20834370709
3044.8383850833734,2871.3060537669953
8164.541249572668,9345.017508286406
50919.01740847859,35786.17545835371
32575.276543527038,42329.17313431021
23077.174131440057,18673.18150394828
4460.500184049521,4840.35804469775
