Parameter,Classical,Continuous_branch,Discrete_branch,Absolute_deviation_continuous,Absolute_deviation_discrete,Relative_deviation_continuous_percent,Relative_deviation_discrete_percent,Unit
L,1.8280517419097853e-07,1.86949039e-07,1.8522635e-07,4.143864809021467e-09,2.421175809021462e-09,2.266820306022808,1.3244569360449467,H
Rs,1.3293768338559775,1.35875136,1.27792466,0.029374526144022584,0.051452173855977446,2.2096463091521703,3.87039795982722,Ohm
R1,33.992671532191416,33.8462246,35.3612945,0.14644693219141658,1.3686229678085837,0.4308191312728386,4.026229496297411,Ohm
Q1,0.0033129662262329,0.00329950223,0.00353824936,1.346399623290001e-05,0.0002252831337671,0.40640306340247906,6.800043175304699,S·s^alpha
alpha1,0.8743619409335213,0.876651483,0.860561941,0.002289542066478689,0.013799999933521212,0.26185289629992775,1.578293757707192,-
Q2,0.0023149205751379,0.00231450321,0.00234558071,4.173651378999027e-07,3.066013486210028e-05,0.018029350224036962,1.3244573136283027,S·s^alpha
alpha2,0.9152312509549296,0.915092829,0.913259822,0.00013842195492963505,0.0019714289549296327,0.015124260102046233,0.21540227706087314,-
