Parameter,Classical,Continuous_branch,Discrete_branch,Unit
L,1.8280517419097853e-07,1.86949039e-07,1.8522635e-07,H
Rs,1.3293768338559777,1.35875136,1.27792466,Ohm
R1,33.992671532191416,33.8462246,35.3612945,Ohm
Q1,0.003312966226232971,0.00329950223,0.00353824936,S·s^alpha
alpha1,0.8743619409335213,0.876651483,0.860561941,-
Q2,0.002314920575137976,0.00231450321,0.00234558071,S·s^alpha
alpha2,0.9152312509549297,0.915092829,0.913259822,-
