time_s,raw_V,smoothed_V,dVdt_V_per_s,abs_d2Vdt2_V_per_s2,local_residual_V,curvature_norm,residual_norm,stability_cost_ai,IR_drop_candidate,mask_qaoa_like
0.0,0.460068762302399,0.4532437563237654,-0.487749337463667,200.11567227669573,0.004466281732966978,1.0,0.29928389107583087,0.7197135564303323,1,0
0.002451330075003977,0.453423798084259,0.45204812170377745,-0.9782989033951708,194.00026470839532,0.004493808702587642,0.9694405891998387,0.3011361937017519,0.7021188310006039,1,0
0.003451330006000841,0.45043408870697,0.4508697072232284,-1.169804424698043,87.14270290361395,0.004507536061577532,0.43546078624723017,0.3020599140914037,0.38210043738489957,1,0
0.0044513300530009126,0.448975026607513,0.4497085128821182,-1.1525842830721444,17.220140099925743,0.004521238484148558,0.08604951691594591,0.30298195649779847,0.17282249274868694,1,0
0.005451329983997777,0.44764769077301,0.44856453868044693,-1.1353641448770873,17.22017202314953,0.00453491329967879,0.08604967644004939,0.3039021412135406,0.17319066234944588,1,0
0.006451330032007263,0.446389764547348,0.4474377846182145,-1.1181439393873518,17.220139526939647,0.004548561270993947,0.086049514052667,0.3048205195695287,0.1735579162594117,1,0
0.00745133007900689,0.445209801197052,0.446328250695421,-1.1009238641871377,17.22010687038926,0.004562182019305245,0.08604935086404425,0.3057370660768887,0.17392443694918205,1,0
0.008451330010004199,0.444083571434021,0.4452359369120663,-1.083703726025476,17.220140078577515,0.0045757785896744195,0.0860495168092663,0.30665198563924534,0.17429050434125792,1,0
0.009451330057999474,0.443033576011658,0.44416084326815053,-1.066483584391733,17.500908766605676,0.004589347128820593,0.08745255096217387,0.30756501896753086,0.17549753816431668,1,0
0.01045132998899545,0.442011475563049,0.4431029697636737,-1.0487019089256364,17.496403756558948,0.004602889501387537,0.08743003889717424,0.30847629153449446,0.17584853995210234,1,0
0.011452420033009059,0.441020667552948,0.4420623163986357,-1.0314723285342495,16.92983805340225,0.004629890768471253,0.0845988434494995,0.31029321939148663,0.17487659382629436,1,0
0.01245242008000913,0.440044462680817,0.4410388831730365,-1.014823165549359,16.934650522869504,0.0046433532882316575,0.08462289192538121,0.31119911862585026,0.17525338260556883,1,0
0.013452420012000754,0.439139842987061,0.4400326700868763,-0.9976030279099461,17.22013956113949,0.0046567885432101256,0.08604951422356764,0.31210318320031954,0.1764709818142684,1,0
0.014452420059000826,0.438236892223358,0.43904367714015496,-0.9803828867888456,17.22013980408417,0.004670191647151345,0.08604951543759078,0.3130050843164953,0.1768317429891526,1,0
0.01545241998999769,0.437352150678635,0.43807190433287246,-0.9631627486806735,17.220166985828484,0.004683566359370856,0.08604965126796374,0.31390507494047376,0.17719182073696776,1,0
0.016452420038007176,0.436508744955063,0.4371173516650289,-0.9459425531786962,17.220139570364267,0.004696912779569797,0.08604951426966494,0.31480316178119105,0.17755097327427538,1,0
0.017452420085007248,0.435662120580673,0.4361800191366242,-0.9287224679038673,17.22011186455194,0.0047102299918031325,0.08604937582046249,0.31569928320427854,0.1779093387739889,1,0
0.018452420016004112,0.434871017932892,0.43525990674765835,-0.9115023298284939,17.220140035800114,0.004723520745467771,0.0860495165955026,0.3165936242179366,0.1782671596444762,1,0
0.0194524200639985,0.434074252843857,0.4343570144981314,-0.8942821881940404,17.177134294299208,0.004736782670550459,0.08583461184768103,0.3174860253428679,0.17849517724575578,1,0
0.020452419994995363,0.433275073766708,0.43347134238804336,-0.8771480615907024,17.178024222259808,0.004750015952407999,0.08583905892235705,0.31837649905181814,0.17885403497414148,1,0
0.021452220040998338,0.43252432346344,0.4326028904173942,-0.8599295932961866,17.264863006588314,0.004750015952407999,0.0862730025400216,0.31837649905181814,0.1791144011447402,1,0
0.02245222008799841,0.431758880615234,0.43175165858618386,-0.8426217697621894,17.263980971084038,0.004763221589558688,0.086268594904878,0.31926511253554934,0.17946720195714655,1,0
0.023452220018995273,0.431019604206085,0.4309176468944125,-0.8254016317237074,17.220140017270808,0.004776399309620705,0.08604951650290948,0.3201518474653617,0.17969044888789037,1,0
0.024452220067004315,0.430301934480667,0.4301008553420799,-0.8081814900891686,17.220139592650526,0.00478954908359354,0.08604951438103199,0.3210367018897973,0.18004438938453815,1,0
0.02545221999800118,0.429584592580795,0.42930128392918626,-0.7909613528999273,81.55884147832717,0.004802671006211101,0.40755757403435433,0.3219196821835451,0.37330241729403063,1,0
0.02645222004500125,0.428875297307968,0.42851893265568125,-0.6450637940000661,111.61933309300537,0.00481576186518174,0.5577733857930891,0.32280057219000163,0.4637842603518541,1,0
0.027452220092996082,0.428188502788544,0.42801115628018144,-0.5677226761788461,0.3527731983666058,0.004841848373748781,0.0017613008804862262,0.32455594551971134,0.13087915873617625,1,0
0.028452220024007158,0.427503436803818,0.42738348732926795,-0.6443582295979695,45.5318126130033,0.004854842845784314,0.22752627396015798,0.3254303496043442,0.26668790421783245,1,0
0.02945222007200199,0.426828235387802,0.42672243983060837,-0.658786293171687,4.7867375560511505,0.004867808784197189,0.023918342216884575,0.3263028336481988,0.14487213878941027,1,0
0.030452220002999297,0.426145732402802,0.42606591475623523,-0.653931706865535,5.080423476833857,0.004880744450213603,0.02538592530095311,0.3271732806483747,0.14610086743992176,1,0
0.03145205008399854,0.425474405288696,0.42541468669651505,-0.6486263865393198,5.334984403354099,0.00489365015354794,0.026657996187532423,0.3280417114456974,0.14721148229079842,1,0
0.032452050014995404,0.424818605184555,0.42476877316332423,-0.6432626351707427,5.2296408404593535,0.00490652473739409,0.026131582015181874,0.328908048198144,0.14724216848836671,1,0
0.033452050061995475,0.424165636301041,0.42412816144094234,-0.6381671050045838,5.399157193283315,0.004919368090043073,0.026978675165627814,0.3297722833887653,0.1480961184548828,1,0
0.03445204999300744,0.423527717590332,0.4234924389667799,-0.6324643209733267,5.836587017227089,0.004932179746252056,0.029164563438296962,0.33063438571115394,0.14975249234743976,1,0
0.03545205004100094,0.422923535108566,0.4228632328130363,-0.6264939310613613,5.504442129475876,0.004932179746252056,0.027504796373452958,0.33063438571115394,0.14875663210853338,1,0
0.0364520500880019,0.422282367944717,0.4222394510451384,-0.6214554361905584,4.924185910780068,0.004957704109931454,0.02460518780960353,0.33235193204915764,0.14770388550542518,1,0
0.03745205001899832,0.421642363071442,0.4216203219537891,-0.6166455593216256,4.97669597772574,0.004957704109931454,0.024867586789395935,0.33235193204915764,0.14786132489330064,1,0
0.03845205006700736,0.421032518148422,0.42100615994002255,-0.6115020443005506,5.199175704515255,0.004970419617280224,0.025979344148122228,0.33320756446989325,0.14887063227683064,1,0
